,mean_return
ACC.NS,0.0005269729847168222
ADANIENT.NS,0.002619343880899993
ADANIPORTS.NS,0.0013572981618128824
AMBUJACEM.NS,0.001157639292903178
APOLLOHOSP.NS,0.00154604938354281
ASIANPAINT.NS,0.00036595640677512434
AUROPHARMA.NS,0.0011876294167339012
AXISBANK.NS,0.0005527053729349744
BAJAJ-AUTO.NS,0.0010972573769908085
BAJAJFINSV.NS,0.0006720030135076647
BAJAJHLDNG.NS,0.0013188896964896853
BANKBARODA.NS,0.0011119304586278053
BANKINDIA.NS,0.0007618023829143556
BHARATFORG.NS,0.0011165452391333724
BHARTIARTL.NS,0.0011978975806657252
BHEL.NS,0.0018426728597990144
BOSCHLTD.NS,0.0008916770928761648
BPCL.NS,0.0006616323602862778
CANBK.NS,0.0011041472115298266
CIPLA.NS,0.0011201330946537561
COALINDIA.NS,0.0011111340860711371
COLPAL.NS,0.0006871288636985242
CONCOR.NS,0.0005727458998273335
DABUR.NS,0.0002236594747319068
DIVISLAB.NS,0.001163720258303485
DRREDDY.NS,0.0008654168721383965
FEDERALBNK.NS,0.0009834430427429746
GAIL.NS,0.00113866772714438
GODREJCP.NS,0.0005733702719494329
GRASIM.NS,0.0011729316381819095
HCLTECH.NS,0.0012762482872458296
HDFCBANK.NS,0.00044893934909108355
HEROMOTOCO.NS,0.0007450138412989098
HINDALCO.NS,0.0011957501473490216
HINDUNILVR.NS,0.00033430210059018465
ICICIBANK.NS,0.0009219693067047427
INDUSINDBK.NS,0.00014632182695259325
INFY.NS,0.0010158729269514042
ITC.NS,0.000888938873905412
JSWSTEEL.NS,0.0012812642752280513
KOTAKBANK.NS,0.00022152997253825857
LT.NS,0.0010595087698764003
MARUTI.NS,0.0005250165999607999
NTPC.NS,0.0011788889035124414
ONGC.NS,0.0010621786746891726
RELIANCE.NS,0.0006438457109770092
SBIN.NS,0.0009681409438773388
SUNPHARMA.NS,0.0013607741053257051
TCS.NS,0.0007135808302003318
WIPRO.NS,0.0009112083643227445
