,ACC.NS,ADANIPORTS.NS,AMBUJACEM.NS,ASIANPAINT.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BANKBARODA.NS,BHARTIARTL.NS,BHEL.NS,BOSCHLTD.NS,BPCL.NS,CIPLA.NS,COALINDIA.NS,DRREDDY.NS,GAIL.NS,GRASIM.NS,HCLTECH.NS,HDFCBANK.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,INDUSINDBK.NS,INFY.NS,ITC.NS,KOTAKBANK.NS,LT.NS,LUPIN.NS,M&M.NS,MARUTI.NS,NTPC.NS,ONGC.NS,PNB.NS,POWERGRID.NS,RELIANCE.NS,SBIN.NS,SUNPHARMA.NS,TATAPOWER.NS,TATASTEEL.NS,TCS.NS,TECHM.NS,ULTRACEMCO.NS,VEDL.NS,WIPRO.NS,ZEEL.NS
ACC.NS,0.000395381019472694,0.0002898621446691248,0.00037053464940396534,0.0001047711990374701,0.00016779976749989336,0.00011630680862156113,0.0002168392914554821,0.00011472887329057214,0.0002543170892380531,0.0001427234359209794,0.0001650493817099725,5.591505558756869e-05,0.0001336984048930099,6.534570315698365e-05,0.0001657949320117349,0.000195983415264523,9.30832928882619e-05,0.00012115110982106777,0.00012572757433056605,0.00021124985186204433,5.900793854014638e-05,0.00014557158960227268,0.00022523982856390915,9.52886822223924e-05,8.975045491494199e-05,0.00010612159970746717,0.00015460879493617974,8.87146670359663e-05,0.00015550463054382044,0.0001341093521446291,0.00014802760489668145,0.0001325443091329033,0.00020197901511337184,0.00011538073344058982,0.0001309519262583941,0.00019186296917994143,8.046013707577225e-05,0.0001914716608145443,0.00019801176824606876,8.305115944825998e-05,0.00010076035358274908,0.0001998783663839547,0.00018206721130535123,0.0001088322048311606,0.00021868898689230852
ADANIPORTS.NS,0.0002898621446691248,0.000682066932509502,0.00033993072426013055,0.0001261107012439104,0.0002328083106755515,0.00012835064309505098,0.0003174348133914639,0.00015190120203802823,0.0003507489791175738,0.00018354297789913772,0.00020379009222937737,6.082780210420291e-05,0.00020570833883441363,7.124458907555184e-05,0.0001998090457933864,0.00021372340710351643,0.0001307678419537624,0.00016772155612007798,0.0001507822746027909,0.0002639572316270286,7.603146773340888e-05,0.00020002689554802063,0.00026504953547744505,0.00012486679029642965,0.00011560638290893515,0.00016094950583064548,0.00020957033606056936,0.00010937936518422487,0.0001943914238475748,0.00017657651610946315,0.0002049027549603187,0.00020877803837240187,0.00029114996007420643,0.00014993720418854202,0.00019731770336307134,0.00026113319018286044,0.00012157329018647067,0.0002820667692384572,0.0002441058329380428,0.00011013272447501513,0.00016447568176122763,0.00018671523063334205,0.00026167963409287056,0.0001263884901222502,0.00029390883261842885
AMBUJACEM.NS,0.00037053464940396534,0.00033993072426013055,0.0005066035578851836,0.00010430652027105924,0.00017972857710202064,0.00011696749286190674,0.0002413373083950936,0.00011057274178671988,0.00026790967062640574,0.0001398022363296186,0.00017638520750576917,5.7892470289583834e-05,0.00014107615589405801,6.117264189675694e-05,0.00017540665011404606,0.00020806759079952848,9.059669345289676e-05,0.00012057022378253386,0.00012870205267585835,0.00020978657628710075,6.253371046538755e-05,0.0001568520470296139,0.00022678582067449455,8.855883101943297e-05,9.151024670332092e-05,0.00011232003281675347,0.00016251093972594342,9.276967811553933e-05,0.000156723432022891,0.00014497416139929435,0.00015443578301867726,0.00013737001631020887,0.00021289049546768836,0.00011743927242628068,0.00014358006052559084,0.00021979398326764762,8.894073013463888e-05,0.00021359297346936523,0.0001955586476746531,8.097909098670698e-05,0.00010435950614242469,0.000210477281190526,0.00019954980770126515,0.0001049087339505286,0.0002165846306100765
ASIANPAINT.NS,0.0001047711990374701,0.0001261107012439104,0.00010430652027105924,0.00027032933577242476,0.00011111358084033044,8.192743804489234e-05,7.580822560800929e-05,6.981198595850046e-05,0.00010155389127371207,9.723428222462179e-05,9.502115634883625e-05,4.4949559777865465e-05,4.896054931499873e-05,6.396264622265931e-05,5.359177658643858e-05,0.00012316264169627642,7.932055439214813e-05,8.695632826603538e-05,9.887986867386998e-05,0.00010640172498451,0.000113307551813837,0.0001025507615972192,0.0001393826338214647,8.614640127789111e-05,6.162540640793201e-05,9.784522033596373e-05,9.817483054483633e-05,4.631835511211832e-05,9.265867772470209e-05,0.00012712056777369963,6.187272852578158e-05,3.9070412854490256e-05,5.3896551123043104e-05,5.157507644175126e-05,0.00010712232349508548,8.205007230529478e-05,5.82759857189315e-05,8.903970165459264e-05,8.085123238994322e-05,7.712444829652283e-05,0.00010125006688129782,0.00012305344709717312,7.451978835076893e-05,7.945657205226976e-05,0.00010869575791479694
AXISBANK.NS,0.00016779976749989336,0.0002328083106755515,0.00017972857710202064,0.00011111358084033044,0.0005315944942922418,0.0001509874015494252,0.000299400558619566,0.00014308321168021859,0.00026040042136621713,0.00019657294109771395,0.00018938550856255877,6.22706142651466e-05,0.000165697636796669,6.955860377396956e-05,0.00015679236227348126,0.000233492409465792,0.0001066408661183392,0.00021290235972576217,0.0001552219919288464,0.00026887378996105977,9.864161442805683e-05,0.00034695295034940066,0.0004107621960331042,0.00012476815105568896,0.00012361091959245076,0.0002142353417645679,0.0002096209237060274,6.523448394757878e-05,0.00020784335467620644,0.00020663837702310323,0.00015105563676231566,0.00017673201676584742,0.0002469017017703328,0.00011475860975503375,0.00018315478082696595,0.00030492956936362163,9.573312354879396e-05,0.00021041040421701155,0.000218748667559232,0.00010970902592654419,0.00014177198064239187,0.0001801049255915808,0.0002334756563347656,0.00012688196148967119,0.0002672055057553721
BAJAJ-AUTO.NS,0.00011630680862156113,0.00012835064309505098,0.00011696749286190674,8.192743804489234e-05,0.0001509874015494252,0.0003041099749249076,0.00012259644871148224,0.00010833512500084543,0.00015921585832137167,0.00013390652881825044,0.0001137615578108567,5.291525240019036e-05,8.801031106804791e-05,6.344071427584599e-05,0.0001060399687587283,0.00013000763068514345,7.791652193374219e-05,0.00010935733221040342,0.00018956919633360562,0.00015415352101730913,7.678565973219526e-05,0.0001221696437980786,0.00018421492501455853,7.42452512459678e-05,7.743186506627222e-05,0.00010791003881819818,0.000109257137415284,7.854581394311105e-05,0.00015542892941138958,0.00016284174495676215,8.724340551997157e-05,0.00011061020778301384,9.787572211126056e-05,7.98512665665476e-05,0.00010863033793081123,0.00011268195486548663,8.048852418440888e-05,0.00012686163509241716,0.00012225416861362317,7.220881939781342e-05,7.873789420026149e-05,0.00011041120641079121,0.00014275506324470686,8.318967587054394e-05,0.00014578322231298117
BANKBARODA.NS,0.0002168392914554821,0.0003174348133914639,0.0002413373083950936,7.580822560800929e-05,0.000299400558619566,0.00012259644871148224,0.0006939594442195183,0.00012165646754952555,0.00042817486688923945,0.00020653952406816313,0.00024665871837061296,5.015856154699932e-05,0.00023975631036093225,4.097742120137244e-05,0.0002486371023278147,0.00021082159522391733,9.671727971067567e-05,0.0001729502922343542,0.00014971862173874048,0.00025972564548097443,4.4098364867269506e-05,0.000255889624346815,0.0003271992186816924,8.975389056749497e-05,0.0001397698568160126,0.00016812329777724687,0.00019965897534317888,8.4151185670772e-05,0.0001963075218701503,0.00018638638423711546,0.00021115471254901693,0.00023375453282246933,0.0005025503046256059,0.00016340390355156005,0.0001771291099426981,0.00041077905444627914,0.00010846267071756686,0.0003162428063195534,0.00026842027915954575,8.490904687017556e-05,0.00013406504523073734,0.00017264937520692288,0.00029651848789084937,0.0001021096795334049,0.000274333371600286
BHARTIARTL.NS,0.00011472887329057214,0.00015190120203802823,0.00011057274178671988,6.981198595850046e-05,0.00014308321168021859,0.00010833512500084543,0.00012165646754952555,0.00032055210275511766,0.0001265265425101195,0.0001027267831110739,0.00011258567823863593,6.607887983470116e-05,8.162442666206073e-05,6.196817970076779e-05,0.00010688416809765057,0.00015486193797764668,8.765255363070718e-05,0.00010849548931119902,0.000102651201780285,0.0001701909022438779,6.445575980384645e-05,0.00013914909203224668,0.00020038048479277542,9.239084375639453e-05,8.634203664250882e-05,0.00011402699925923767,0.00011421902845450774,8.175846854952425e-05,0.00012336674405505804,0.00011762403799809759,9.741376878679057e-05,0.00012007434786367628,0.00010159892931697252,9.06225321445256e-05,0.0001061755689388752,0.00012912524376300675,8.883534691335186e-05,0.000129081168519804,0.00014905508040699187,7.823685790747398e-05,9.531988524053768e-05,0.00011116356603191492,0.0001603419917093767,8.166363381948958e-05,0.00010394595546851428
BHEL.NS,0.0002543170892380531,0.0003507489791175738,0.00026790967062640574,0.00010155389127371207,0.00026040042136621713,0.00015921585832137167,0.00042817486688923945,0.0001265265425101195,0.000981628389986613,0.00022862527764268677,0.0002884974339701999,7.980667712545563e-05,0.00033326132969110515,9.325303848778122e-05,0.0003296573025453259,0.00024282549804995648,0.00011386667076151923,0.00015181846551108467,0.00018645458002458513,0.0003255399572852938,4.675982643955642e-05,0.00019941130831068368,0.0003322473748587856,9.256946456299917e-05,0.00016463061064146998,0.0001596119949021781,0.0002467784114691146,0.00015553620164879546,0.000237203903432133,0.00018735307807315343,0.0002751020817365679,0.0003033394256204586,0.00040895934489341447,0.00020689416146660002,0.00019369441864433912,0.00032457046213862966,0.00013611007385639935,0.0004078621087207733,0.000338674457146725,8.444766563904009e-05,0.00014662587512955923,0.0002029365595016041,0.00035192656642708017,0.00012386777256048116,0.00040801346528050866
BOSCHLTD.NS,0.0001427234359209794,0.00018354297789913772,0.0001398022363296186,9.723428222462179e-05,0.00019657294109771395,0.00013390652881825044,0.00020653952406816313,0.0001027267831110739,0.00022862527764268677,0.0003903482226750446,0.00015303061560117932,5.1696601515843714e-05,0.00014257160137190684,6.0698498106764366e-05,0.0001455069867875038,0.00016338027099180018,0.00010964220042794516,0.0001358803673253433,0.00016380757224840057,0.0001911249552606493,6.850631787216339e-05,0.0001763514066605997,0.00023045239885989758,0.00010553548606220126,9.437897663118255e-05,0.00013069853381894537,0.00015117649402901636,6.702865801801088e-05,0.00020189393658236383,0.0001855745906601534,0.00012984410357612923,0.0001429386570947259,0.00017375598738446837,9.83396822961113e-05,0.00014625056911230996,0.000174736119946166,8.668283967846822e-05,0.00020243137411749812,0.00017588285451545298,9.438180520216532e-05,0.00012846616631375813,0.00013610539230004897,0.00018970557983507245,0.00010329065726780882,0.00022643087797017203
