,mean_return
ACC.NS,0.00020478266619019763
ADANIENT.NS,0.0014680750692959313
ADANIPORTS.NS,0.00035872869527530684
AMBUJACEM.NS,6.065453441838741e-05
APOLLOHOSP.NS,0.00040645484158906536
ASIANPAINT.NS,0.0008549841009373566
AUROPHARMA.NS,9.250391049591872e-05
AXISBANK.NS,0.0005365349827947326
BAJAJ-AUTO.NS,0.0004093424216271421
BAJAJFINSV.NS,0.001811646496566982
BAJAJHLDNG.NS,0.0009173366064840026
BANKBARODA.NS,-0.00021348232240295568
BANKINDIA.NS,-0.0007796590945062648
BHARATFORG.NS,0.00027100331850331706
BHARTIARTL.NS,0.00047881057785125825
BHEL.NS,-0.0008033764902749357
BOSCHLTD.NS,-1.911429247854179e-05
BPCL.NS,0.0010704296980513378
CANBK.NS,-0.00016572430457047733
CIPLA.NS,-7.748948004277578e-05
COALINDIA.NS,-8.627441830860474e-05
COLPAL.NS,0.0005383731858356551
CONCOR.NS,0.000440881902007658
DABUR.NS,0.0007052398312861265
DIVISLAB.NS,0.0008819998628291797
DRREDDY.NS,9.843073752100026e-05
FEDERALBNK.NS,0.000407382822701722
GAIL.NS,0.00023593775900204882
GODREJCP.NS,0.0008313751947098049
GRASIM.NS,0.00045763755387746033
HCLTECH.NS,0.0004816204725757008
HDFCBANK.NS,0.0008874932329286538
HEROMOTOCO.NS,2.8805084228664224e-05
HINDALCO.NS,0.0005587013954755863
HINDUNILVR.NS,0.0009105314810743251
ICICIBANK.NS,0.0006590610802767013
INDUSINDBK.NS,0.0006798273329773075
INFY.NS,0.0005623243784387133
ITC.NS,0.00017669613134630704
JSWSTEEL.NS,0.0010074415012312648
KOTAKBANK.NS,0.0009088224202449631
LT.NS,0.00039488643147508667
MARUTI.NS,0.0008085919799806023
NTPC.NS,0.0002323783559755946
ONGC.NS,-0.0001707521052999172
RELIANCE.NS,0.0011661825749960497
SBIN.NS,0.0003108393330259797
SUNPHARMA.NS,-0.00029478248606143996
TCS.NS,0.000615814067773207
WIPRO.NS,0.0002633139539405688
