,ACC.NS,ADANIPORTS.NS,AMBUJACEM.NS,ASIANPAINT.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BANKBARODA.NS,BHARTIARTL.NS,BHEL.NS,BOSCHLTD.NS,BPCL.NS,CIPLA.NS,COALINDIA.NS,DRREDDY.NS,GAIL.NS,GRASIM.NS,HCLTECH.NS,HDFCBANK.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,INDUSINDBK.NS,INFY.NS,ITC.NS,KOTAKBANK.NS,LT.NS,LUPIN.NS,M&M.NS,MARUTI.NS,NTPC.NS,ONGC.NS,PNB.NS,POWERGRID.NS,RELIANCE.NS,SBIN.NS,SUNPHARMA.NS,TATAPOWER.NS,TATASTEEL.NS,TCS.NS,TECHM.NS,ULTRACEMCO.NS,VEDL.NS,WIPRO.NS,ZEEL.NS
ACC.NS,0.0002633022455704439,0.00011558294450626835,0.00021979848792777604,8.943933993508093e-05,0.00011155882697338069,7.645031355218647e-05,0.00014324079938644725,7.309995704042597e-05,0.00014082645594311894,8.306923050750698e-05,9.600655776991033e-05,6.382202673595348e-05,6.553279617504435e-05,5.291514480840483e-05,8.297566178864896e-05,0.00014549461162961273,2.3483962311773838e-05,6.361953062655198e-05,9.139868251375895e-05,0.00014006744182938204,5.467535059855143e-05,0.00011781637561870786,0.00010517210597870428,3.692272920333258e-05,5.334502466118587e-05,7.538125309905696e-05,0.00011543504947721748,6.947062297967238e-05,0.00010215131847069547,9.606429692787472e-05,5.8464260581077544e-05,7.209593747505195e-05,0.0001394257458434557,4.470131051460833e-05,6.291256618505653e-05,0.00013106811784982232,6.92756936361491e-05,0.00010926774982451562,0.00013516737080566013,2.6149174270568323e-05,3.216058662328089e-05,0.0001727508137695979,0.00014281826173876436,2.79529248806711e-05,7.97728032451195e-05
ADANIPORTS.NS,0.00011558294450626835,0.00046949149119995744,0.0001235014545352451,8.905232906771726e-05,0.00012750308043770942,9.733709902709266e-05,0.000198787732554469,9.63158673190822e-05,0.00019328123907996807,0.00011341062568035755,0.00012439410706064613,9.323049991256267e-05,7.5499303240793e-05,7.071816563867527e-05,0.00010337545885854683,0.00012575201706006018,3.216070676514161e-05,7.612490856381093e-05,9.671455563611207e-05,0.00017571617143955474,5.101470486614062e-05,0.00016344098481355638,0.00011592147549072897,3.328274177203691e-05,7.67864196463608e-05,9.530543123117041e-05,0.00013659459780862156,7.196845672032841e-05,0.00010057550820524315,0.0001061139556318403,7.662151146181852e-05,0.00011309002021191541,0.00020314274457657866,5.9133887402770744e-05,9.679522472176778e-05,0.00017103932541165148,8.816456332778988e-05,0.00016362479935904425,0.0001837040843393708,3.0503760409691075e-05,6.224843439324458e-05,0.0001329388704268001,0.00021309385840985,4.499938534674949e-05,0.00010285371939753345
AMBUJACEM.NS,0.00021979848792777604,0.0001235014545352451,0.0003013941953050107,0.00010161904629251484,0.0001247186493180891,8.295684236676041e-05,0.00015596899074133861,8.399552070455601e-05,0.00014800662440021643,9.560865088559726e-05,0.0001071708959375081,8.168459524091647e-05,6.960746435006094e-05,5.257330127498505e-05,8.69618504729521e-05,0.00015216652532561552,3.840542981907983e-05,7.389448834394399e-05,0.0001044934867307339,0.0001464129040956405,6.778290603277991e-05,0.00013616158581499082,0.00011869016574848444,4.524121871970698e-05,6.177624649636851e-05,8.961711154887458e-05,0.0001235676203003227,8.49680633722413e-05,0.00011502175844408932,0.00011126382681188305,6.576030518788731e-05,8.704713149692732e-05,0.00015483210486408826,5.362418023975314e-05,7.945715022521289e-05,0.0001497663454517496,8.494838014095359e-05,0.00012549729723813422,0.00015215148023361733,3.2072828274380425e-05,4.9529102232176805e-05,0.00018200084279184275,0.00016589789412576743,3.9600499585691006e-05,9.578353353947494e-05
ASIANPAINT.NS,8.943933993508093e-05,8.905232906771726e-05,0.00010161904629251484,0.00023204909239784557,8.414801871013063e-05,6.665406334489498e-05,8.549909937829385e-05,6.304074452538171e-05,7.351966274522366e-05,7.805425550507667e-05,9.33621010258472e-05,3.711459523670478e-05,5.237313048330266e-05,3.2192810394023534e-05,5.993492619442264e-05,8.321966178118327e-05,2.744157616572917e-05,5.252387783353131e-05,7.163768289539966e-05,7.724145924923563e-05,6.282105666552705e-05,8.080922456578271e-05,8.676111416614406e-05,2.5496426617475475e-05,4.6615783616776746e-05,7.317834734593493e-05,7.432590987527222e-05,4.274680382840389e-05,8.617621303950315e-05,9.343907073878641e-05,4.645216991656307e-05,5.088714484939536e-05,8.068873347554722e-05,2.9290711607427033e-05,6.771526806356489e-05,8.054542369865938e-05,4.32108700632241e-05,6.728408666629263e-05,9.8470786384047e-05,1.9906664089115227e-05,2.7442563631288478e-05,0.00010291446906756984,9.092618865626435e-05,2.519050156491779e-05,6.183928805113316e-05
AXISBANK.NS,0.00011155882697338069,0.00012750308043770942,0.0001247186493180891,8.414801871013063e-05,0.0003696196146065514,6.841762705854527e-05,0.00021496051335403402,6.224171674710357e-05,0.00015495135640867508,8.859359249127488e-05,0.00010570434854959782,7.882147801577411e-05,5.7659838791693016e-05,4.461160241302217e-05,8.63005815130121e-05,0.0001130476734152445,3.060837129766673e-05,7.280249831256558e-05,7.397598888446925e-05,0.0001447014161415658,4.587676805965772e-05,0.00021488303421229174,0.00012997969725173057,3.1163393513837895e-05,5.137289375141743e-05,9.41269294079337e-05,0.00014287597374736176,6.631196886088263e-05,0.00010323429378334605,0.00011303255239706163,7.689349219059901e-05,7.526631325057203e-05,0.00021687272355586516,5.537829457244101e-05,8.412790873256884e-05,0.00020319412491079307,7.048602199166724e-05,0.00011447009866740166,0.00016527542357234145,1.6579395089629746e-05,5.428684029882797e-05,0.00012360402520730484,0.0001715201119455571,2.8912913705703153e-05,8.517056579721312e-05
BAJAJ-AUTO.NS,7.645031355218647e-05,9.733709902709266e-05,8.295684236676041e-05,6.665406334489498e-05,6.841762705854527e-05,0.0002198630515205571,8.352568366360348e-05,6.017567404893051e-05,8.694308823847746e-05,7.263413949551405e-05,7.418547056465641e-05,5.270546141540374e-05,5.058336984320298e-05,5.077130581172943e-05,6.520330594324092e-05,7.9219549667541e-05,2.1005067714586914e-05,5.299136859399354e-05,0.00013352189859754685,0.0001036627249360344,4.826529202963524e-05,7.154826863160942e-05,6.930746215783317e-05,2.511033055875793e-05,4.76374045382797e-05,5.8878602289934446e-05,7.904517506035553e-05,4.1635364217953774e-05,9.513202005922832e-05,9.459261992999872e-05,4.778307753383193e-05,6.876687084582376e-05,9.05022926676278e-05,3.185325218148301e-05,6.57413307356378e-05,8.368845205796435e-05,4.700839719641367e-05,8.567663835250487e-05,9.621413398402137e-05,2.594394543016087e-05,2.4008081361753002e-05,7.808451661793629e-05,0.00010488840435873016,3.1367212658432665e-05,8.314462855684115e-05
BANKBARODA.NS,0.00014324079938644725,0.000198787732554469,0.00015596899074133861,8.549909937829385e-05,0.00021496051335403402,8.352568366360348e-05,0.0007725296976136341,0.00011824351578236053,0.0002600373423183229,0.00011319733481694092,0.00012486760298079685,0.0001045219037611189,0.00012572517252181723,7.418994467062032e-05,0.00014006068976968065,0.0001678473858642811,2.5907289003372565e-05,6.04550340148123e-05,0.00010476357479381339,0.00022487470874413536,3.503840835141589e-05,0.00028680419181785597,0.00012587171607752556,3.335190377510507e-05,7.942464399022435e-05,7.435928304778409e-05,0.00018362676902058036,8.940320896116343e-05,0.00013421988727423315,0.00014346160667471456,9.139210029607605e-05,0.00012751390890456259,0.0006017025100614905,9.054411086923743e-05,9.759055094430577e-05,0.0004535236715321827,9.857764634040984e-05,0.0001827762435248288,0.0002535579245183344,1.1468109165303178e-05,6.835332110581711e-05,0.00015729958704775463,0.0002734748338545276,2.2570751601042775e-05,0.00013516710045058852
BHARTIARTL.NS,7.309995704042597e-05,9.63158673190822e-05,8.399552070455601e-05,6.304074452538171e-05,6.224171674710357e-05,6.017567404893051e-05,0.00011824351578236053,0.0003964349321547586,9.381027082297865e-05,5.6653173249136474e-05,6.938039793675526e-05,4.834122069197443e-05,4.497680777853393e-05,2.2982385836519196e-05,5.863412895417749e-05,9.868123324809166e-05,2.9716399092571644e-05,4.284380194809218e-05,6.80362336451107e-05,0.00010429476120653367,4.018064503380003e-05,7.893018011895609e-05,4.716730267702906e-05,3.179863904043152e-05,4.992680493488633e-05,3.26364170722249e-05,7.614917510894603e-05,5.623671312818955e-05,7.430006507335066e-05,6.376559914041141e-05,5.5331366082206476e-05,5.919955597514184e-05,0.0001236993592485303,4.273744472113645e-05,7.745609210418734e-05,9.831638974095782e-05,4.145077675145299e-05,7.713719502936067e-05,9.831542281994126e-05,1.8895027346910992e-05,3.3338140455017014e-05,9.346435369872658e-05,0.00012150695797403118,1.975733722657664e-05,3.838706320359194e-05
BHEL.NS,0.00014082645594311894,0.00019328123907996807,0.00014800662440021643,7.351966274522366e-05,0.00015495135640867508,8.694308823847746e-05,0.0002600373423183229,9.381027082297865e-05,0.0005769701189925661,0.00012309729570474088,0.0001315294194620543,9.551673177845001e-05,0.00010339048645294529,5.655102696915569e-05,0.00014646114758141198,0.00014817214604578762,4.607358441506538e-05,7.420607064571028e-05,9.331611432258604e-05,0.00018928833622759445,4.505511916778638e-05,0.00016909935665856076,0.00012802880770034834,4.198900159613702e-05,7.075497585924569e-05,8.312868781325104e-05,0.00016976867455199688,0.00010161279012856811,0.00011079879075721316,0.00013162070238197034,9.824051026770759e-05,0.00014273411130832832,0.0002701411766634142,8.086521177236563e-05,8.955051812895965e-05,0.00020085025426936484,0.00010715265418248998,0.00017505514338721684,0.0002168427735783599,2.960895029481987e-05,5.986544115920934e-05,0.00013431412782259757,0.00023413012274894023,3.853480316459133e-05,0.00010861822872523182
BOSCHLTD.NS,8.306923050750698e-05,0.00011341062568035755,9.560865088559726e-05,7.805425550507667e-05,8.859359249127488e-05,7.263413949551405e-05,0.00011319733481694092,5.6653173249136474e-05,0.00012309729570474088,0.0003018921239686638,9.099637246117972e-05,5.646020381012503e-05,5.297974183493584e-05,4.550821517198131e-05,8.197664168368658e-05,8.772738051592696e-05,3.3396332351658296e-05,5.587409499272577e-05,7.74538178665332e-05,0.00010797221181219521,4.6479744508661874e-05,9.689234061169756e-05,8.468733973249655e-05,2.3474934121317142e-05,6.72821118816695e-05,7.328236429953168e-05,9.326887846481906e-05,5.024162817816577e-05,8.93346764101457e-05,9.307492019696665e-05,5.009373733413588e-05,7.51406070491041e-05,0.00011276004217042674,4.368293002379305e-05,6.004469482692179e-05,9.960063230415003e-05,6.684747069753926e-05,8.919770378467806e-05,0.00011156603207442385,3.180941134668922e-05,4.2136693017056947e-05,9.007729988935884e-05,0.0001249230171954888,3.88793742519403e-05,9.444015412706514e-05
BPCL.NS,9.600655776991033e-05,0.00012439410706064613,0.0001071708959375081,9.33621010258472e-05,0.00010570434854959782,7.418547056465641e-05,0.00012486760298079685,6.938039793675526e-05,0.0001315294194620543,9.099637246117972e-05,0.0004610419896729579,6.409465360413322e-05,8.882337413443199e-05,4.606750501190616e-05,0.00012817534510030915,9.590049435268695e-05,2.041770568693137e-05,5.9051511311340863e-05,7.958703348008468e-05,0.00010843106871740464,4.922831350510757e-05,0.00011217255698025961,0.00010301371112754046,2.676935452261919e-06,7.02815685869917e-05,7.521464789663977e-05,9.279760257514484e-05,6.488907586220006e-05,8.706086211350386e-05,9.607074945948424e-05,6.379838096846629e-05,0.00012039425235108713,0.00013082263540098362,5.147885085417162e-05,9.446001819194788e-05,0.00011775528238279594,5.1040058471377174e-05,9.742085025217924e-05,0.00011301495790883931,-2.0443610052281604e-07,2.537006750903736e-05,0.00010477540913107067,0.0001388709653397337,1.5377752779659712e-05,5.045788782010404e-05
CIPLA.NS,6.382202673595348e-05,9.323049991256267e-05,8.168459524091647e-05,3.711459523670478e-05,7.882147801577411e-05,5.270546141540374e-05,0.0001045219037611189,4.834122069197443e-05,9.551673177845001e-05,5.646020381012503e-05,6.409465360413322e-05,0.000257093807948414,5.1618512119296554e-05,8.7523265977311e-05,5.333303823092101e-05,7.602864784644459e-05,2.812763379270286e-05,4.268942036786258e-05,5.638572335095852e-05,0.00010525773085783993,4.0073750679184e-05,8.021156161402042e-05,6.961925865474573e-05,2.5472059369388213e-05,4.393579854540901e-05,5.216627547629083e-05,7.131765763989505e-05,0.00011327402057106212,6.0234220899134616e-05,5.741763342768997e-05,4.981233615783428e-05,6.772818009209755e-05,0.00011612959932877048,3.569673081375949e-05,5.349079468825983e-05,9.347297461838165e-05,0.00011801823468683063,8.879976935327807e-05,0.00010626315214591774,2.042483371145686e-05,3.964979054848691e-05,6.923149742996174e-05,0.00011903603258350893,3.1971150385166955e-05,5.608556999389855e-05
COALINDIA.NS,6.553279617504435e-05,7.5499303240793e-05,6.960746435006094e-05,5.237313048330266e-05,5.7659838791693016e-05,5.058336984320298e-05,0.00012572517252181723,4.497680777853393e-05,0.00010339048645294529,5.297974183493584e-05,8.882337413443199e-05,5.1618512119296554e-05,0.0002680167081875633,4.295267385948868e-05,6.724571060006705e-05,7.115026477797532e-05,2.454058390687268e-05,3.481862520966955e-05,5.585660408471828e-05,0.00010965678419908346,2.798294844362096e-05,6.873529475769456e-05,6.252713214995056e-05,1.8600600393911503e-05,4.221088242055911e-05,3.823796947582285e-05,6.544655468119075e-05,5.22869065641956e-05,6.875854071728271e-05,5.984278765605876e-05,6.055503079529302e-05,9.093649984264622e-05,0.0001226034304213285,4.1597569220708934e-05,6.043152426273871e-05,9.230443267223982e-05,5.816534931979825e-05,7.084431842910233e-05,0.00011194750274771559,1.920568208041717e-05,2.277077436026326e-05,6.972358025608633e-05,0.0001277126463402938,2.5530295422521953e-05,6.008598392996304e-05
