,mean_return
ACC.NS,0.010663929646662882
ADANIENT.NS,0.058343299524999476
ADANIPORTS.NS,0.0261606488475873
AMBUJACEM.NS,0.023429329618073293
APOLLOHOSP.NS,0.033647399039412024
ASIANPAINT.NS,0.007819175838951505
AUROPHARMA.NS,0.024580435440235495
AXISBANK.NS,0.011591275093249143
BAJAJ-AUTO.NS,0.023705044665622923
BAJAJFINSV.NS,0.018125041290858134
BAJAJHLDNG.NS,0.028677828493960597
BANKBARODA.NS,0.02315265330966381
BANKINDIA.NS,0.020941703852460393
BHARATFORG.NS,0.023872621508800543
BHARTIARTL.NS,0.023985543461996755
BHEL.NS,0.03899614100755617
BOSCHLTD.NS,0.018222707715480093
BPCL.NS,0.012772422259227771
CANBK.NS,0.023288094989322272
CIPLA.NS,0.022895383795503495
COALINDIA.NS,0.022900171501990228
COLPAL.NS,0.014540672784389561
CONCOR.NS,0.011103775181291102
DABUR.NS,0.003924574326936784
DIVISLAB.NS,0.023925988247422883
DRREDDY.NS,0.018214879164702245
FEDERALBNK.NS,0.021323374881819315
GAIL.NS,0.022859169420034128
GODREJCP.NS,0.011079528682640276
GRASIM.NS,0.02409199375305097
HCLTECH.NS,0.027027104459123492
HDFCBANK.NS,0.008853484063380376
HEROMOTOCO.NS,0.01611918033346184
HINDALCO.NS,0.02737398309072112
HINDUNILVR.NS,0.0066042039505861275
ICICIBANK.NS,0.018709409940155016
INDUSINDBK.NS,0.008198362947745666
INFY.NS,0.021009210332668185
ITC.NS,0.017806219367095946
JSWSTEEL.NS,0.028379045895650833
KOTAKBANK.NS,0.0038451922201165408
LT.NS,0.02179818188560745
MARUTI.NS,0.010550297500797513
NTPC.NS,0.024715656564081753
ONGC.NS,0.020926386409150736
RELIANCE.NS,0.012809021724254235
SBIN.NS,0.021160311194579413
SUNPHARMA.NS,0.02842219802958544
TCS.NS,0.01413780290354857
WIPRO.NS,0.01870681816269985
