,ACC.NS,ADANIPORTS.NS,AMBUJACEM.NS,ASIANPAINT.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BANKBARODA.NS,BHARTIARTL.NS,BHEL.NS,BOSCHLTD.NS,BPCL.NS,CIPLA.NS,COALINDIA.NS,DRREDDY.NS,GAIL.NS,GRASIM.NS,HCLTECH.NS,HDFCBANK.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,INDUSINDBK.NS,INFY.NS,ITC.NS,KOTAKBANK.NS,LT.NS,LUPIN.NS,M&M.NS,MARUTI.NS,NTPC.NS,ONGC.NS,PNB.NS,POWERGRID.NS,RELIANCE.NS,SBIN.NS,SUNPHARMA.NS,TATAPOWER.NS,TATASTEEL.NS,TCS.NS,TECHM.NS,ULTRACEMCO.NS,VEDL.NS,WIPRO.NS,ZEEL.NS
ACC.NS,0.006016182130103302,0.004373082592425292,0.006169524716091935,0.0016462652087015982,0.0009779469198267219,0.0012148030638966406,0.002900495116580107,0.0017578639873024578,0.003147522400882872,0.0008304509441420607,0.0016640438727134651,0.0013620885155278917,0.00032130828563000963,-0.0004310342698150533,0.001969123671593864,0.002333723751241026,-0.0001079144041974857,1.4731773000157488e-05,0.0021451611533063303,0.0023489864807824863,0.0007339842367852725,0.002105283239847764,0.0021054161245570076,0.0003037406045992685,-0.00012595847827159032,0.000734646701024658,0.0013627775836476087,0.0014321645525075682,0.0012537114503869573,-0.00012902586138546088,0.002129408786868295,0.0012419980646629295,0.003907437277572028,0.0013436678654626885,0.0019617375713942018,0.0027065168650817133,0.0018620721007852649,0.003304799983478975,0.003126113271616801,0.000240997410803368,0.0004337541225667446,0.0020298846811500197,0.0028773364925018994,0.001187713601870929,7.672527822332042e-05
ADANIPORTS.NS,0.004373082592425292,0.008002298327770314,0.00508122070539588,0.003558234949735066,0.0018833591358713676,0.002229426055458294,0.0029885494627613775,0.0018279648074355133,0.004152484738724574,0.0011763765304247597,0.0036520301990509148,0.0023038780554935304,0.002688643475898505,0.0009518869569927693,0.0034927560982683475,0.002899181258718473,0.0015364838703795765,0.0005055001163239702,0.0022268127995124813,0.002922455142040677,0.001899957060791975,0.00192220894874843,0.0036690997547249365,0.0013788567053893762,0.0007434461702701133,0.0016149144631659523,0.0017508797733371533,0.0029174388148549093,0.0005612945599696087,-1.687355622016809e-05,0.002687298176183798,0.0018304889936030797,0.004036987089859672,0.0019668304836543255,0.0030189561624702995,0.002437959286284451,0.0022505094464809424,0.00291472988128116,0.0025081619013829015,0.0016157705836594334,0.001686772388026837,0.002160645679576321,0.0031363731971567996,0.0020276701247564435,0.0003978700114937215
AMBUJACEM.NS,0.006169524716091935,0.00508122070539588,0.0095845993132532,0.0021551822320567426,0.000771685767996684,0.0010019630973861814,0.002236403501086178,0.0019077108828143986,0.0034630677655068144,0.0007968132119581392,0.0021224799190747655,0.0014840192428065915,-8.31155662336994e-05,0.00030395457364401483,0.0013798284228648974,0.0022767403072779754,0.0001090321621211607,1.5582534282661588e-05,0.0023114888998142656,0.0010334223831654173,0.001649916279987239,0.0022897064686218903,0.0030387722756039692,-0.0007856721246721246,0.0002710658913230255,0.0011686749203330547,0.00101458242125299,0.001946060033687195,0.0016156919138001406,8.844203291577378e-05,0.0022078649529641363,6.343842174021843e-05,0.00342875795668363,0.0007225202281132845,0.0017442166839682462,0.0027893025032691785,0.0021460278907463213,0.0017765964250734134,0.0022078946288258978,-0.0003471262941567711,-0.000371764638553669,0.0021164294521855923,0.0021983669779942344,0.0008119976419582954,0.00010024614634607969
ASIANPAINT.NS,0.0016462652087015982,0.003558234949735066,0.0021551822320567426,0.005369195733544036,0.0017616886664263522,0.0014168431993989176,0.0010066115741508292,0.0008155924723381855,0.0019002589045422598,0.0011249317458109469,0.001810922155370769,0.0007447033099567036,0.001273015966158882,-0.00013793439664831192,0.0019419846850940747,0.002418993862279794,0.0007084068732133459,0.0014297839274536915,0.0014286739283598325,0.003726650144276165,0.003131240283263561,0.0014552582992100745,0.0045369289580075075,0.0006201790185994061,0.0016824008320820915,0.0015207615011115744,0.0017195819634885203,0.0012587279046383643,0.0007853936599478881,0.0006003241415329868,0.0020550874155589546,-0.0004907155555669338,0.00027541571764855727,0.0008081401155246223,0.0010206149986233114,0.0009062698004774521,0.0013568891046868432,0.001765987178314489,0.002855351284853965,0.0009179144818569991,0.0017147840970509938,0.0023213276498891978,0.003484551330960696,0.0012231239977396372,0.002086220646201249
AXISBANK.NS,0.0009779469198267219,0.0018833591358713676,0.000771685767996684,0.0017616886664263522,0.005108014770417136,0.0018230186948201342,0.003670824431539252,0.001410841365658914,0.0037653043254021116,0.0008020874444657896,0.0016245785489573774,0.0005832796880531085,0.002459966846947699,-0.0001350823786210307,0.002662236450084631,0.0022426456250176467,0.0005308385392288917,0.002034122586269549,0.0019679037064030676,0.0033574757006858543,0.0014469766651618722,0.0017391007431673572,0.0028093575535339077,0.0009373593962182779,0.00034659129506545746,0.0008965050386195287,0.001428711343282513,0.0007453015085363016,0.0019540536129306276,0.0013961390674092362,0.0020232630742937933,0.0007882405505050508,0.0030136300063141057,0.0011298999517958617,0.001463511092808008,0.002132073859869626,0.0008435269660529247,0.0019619516894960358,0.0028122510450292715,0.0013125612761341599,0.0012651947427962267,0.0019575152113977946,0.002428859952955058,0.00048007461014445036,0.0005465206911714848
BAJAJ-AUTO.NS,0.0012148030638966406,0.002229426055458294,0.0010019630973861814,0.0014168431993989176,0.0018230186948201342,0.006123539336794248,0.0022841230714713535,0.0015209543063566307,0.004166768166716626,0.002112811696952816,0.003996683675785483,0.0010101122036769222,0.0035306094503360953,0.0010831296593686371,0.0031437146735088504,0.0018605762059155221,0.000552601980854271,0.0009027996590670855,0.004625658376887432,0.003094604612289248,0.0012932968120743975,0.0011818844883845563,0.0032359649799012197,4.5506433926655615e-05,0.0012527317577067229,0.0018217706712224944,0.0014736201400350748,0.002099462139364412,0.001688846121513075,0.002380498172932158,0.002921964714462471,0.0022845298792842617,0.0028800540404946002,0.0018368111596669585,0.002265958197044704,0.0010333606118009915,0.0017320813178326345,0.0029105156262584095,0.0027255323342060176,0.0007762460708806891,-0.0008371390536289222,0.0011483749987396786,0.0015402420033405152,0.00019472843281688498,-0.00046398833552216564
BANKBARODA.NS,0.002900495116580107,0.0029885494627613775,0.002236403501086178,0.0010066115741508292,0.003670824431539252,0.0022841230714713535,0.008784065226094224,0.0008067503716241025,0.004157144981692839,0.0013594200725798914,0.0019104160409682165,0.000106851433571117,0.002473052969798069,-0.0005480132543595614,0.0034035989304308932,0.0037416919843671396,-0.0021039830443370035,0.001406220000934484,0.0018498080601186285,0.0030517601709988563,-0.0004942566627083954,0.0027745045982296526,0.0037225414841244235,-0.0008932431514212763,-1.1000007994383187e-05,0.0014938081332113652,0.0019484194158870245,0.0011284580521902184,0.0008871162983883091,0.0012636297663044757,0.0028272509079697436,0.0029731558329076984,0.007031544771664141,0.001276022536424893,0.0020554433033360864,0.0049894814027686965,0.0005347851610652544,0.004418930974224223,0.0030009590585417566,1.8776637789715678e-05,-0.0015296920423568598,0.0013505232377493811,0.0021544671988149157,-0.0005249022555212467,0.001588819750158818
BHARTIARTL.NS,0.0017578639873024578,0.0018279648074355133,0.0019077108828143986,0.0008155924723381855,0.001410841365658914,0.0015209543063566307,0.0008067503716241025,0.0034867123191140033,0.0019802355461381455,-0.0006384899995602266,0.001536816786892548,0.0012254868337465636,0.0012114149771881287,0.00019897452474060195,0.0010976339833793402,0.0015059014389236418,0.0006220444011800543,0.0005981039755917226,0.0014070025924623937,0.0014220850701442825,0.0007722372336671278,0.000644918122109835,0.0009464983785533658,0.0005755418001171578,0.0007768473334312115,0.0009321349302661046,0.000413335478687035,0.0008750360523092795,0.0004475136891977614,0.00032437288765498794,0.0010366314169908992,0.001692023553789544,0.001577162659635573,0.0010240964417235813,0.0016450797340455162,0.0005122361183756248,0.0009211812206196973,0.00218227290995442,0.0006944992729734482,0.0010727629686669946,0.0012036942392528057,0.00048600383559006853,0.0020691024961589344,0.0004906921685350164,0.00033719552200359214
BHEL.NS,0.003147522400882872,0.004152484738724574,0.0034630677655068144,0.0019002589045422598,0.0037653043254021116,0.004166768166716626,0.004157144981692839,0.0019802355461381455,0.014709782780106121,0.0029774323691707204,0.005235776970702611,0.0023066428839975707,0.005633547847314437,0.0018330812348190625,0.0047886499469550654,0.004250889779614737,0.0008990891505207989,0.001146393307586207,0.005838795418163944,0.0047524683398254665,0.0012789260106320377,0.002283377235331778,0.005052597801100994,0.0015958325304161584,0.001156251721111311,0.0023620478002557544,0.0033506477821503744,0.004999201749597901,0.0036630973706968336,0.002570695512311175,0.005563110962328849,0.004064361583121463,0.00877780631089207,0.0025867654996677486,0.003048999055488559,0.0032950035250659273,0.0025259364822440645,0.006796900611693004,0.003626623284411211,0.00115508089918833,0.0009794386470697231,0.0024080269830084513,0.003902432229467882,0.0012695393849719027,0.007892609193612168
BOSCHLTD.NS,0.0008304509441420607,0.0011763765304247597,0.0007968132119581392,0.0011249317458109469,0.0008020874444657896,0.002112811696952816,0.0013594200725798914,-0.0006384899995602266,0.0029774323691707204,0.004784181643735366,0.0026371368037902436,-0.00013220867502552198,0.001585293576166406,0.0006319345147823311,0.0015699974513870153,0.0018529540702721227,0.00044967912504731975,0.00045945364792523746,0.0018929699288834968,0.0007139776802999782,0.0007046376946106175,0.001263383689180111,0.0016835499829175862,0.00045788514839069735,-0.00025959486490364776,0.000855500612585793,0.001168754798569368,0.0007151493779202951,0.0018716688136720424,0.0016177989479907806,0.001726816537758074,0.0009993787798134636,0.0012662101343980463,0.001397931986905563,0.0008500565979915011,0.001555209915408306,0.0013653637047605475,0.0019103332602312883,0.0017335130395708127,-5.447645611745674e-05,0.00023263560187761624,0.0015729426438155477,0.00014529670148251774,0.000944197851354392,0.00165004019929924
