,mean_return
ACC.NS,0.0011127303773579174
ADANIPORTS.NS,0.0044749132379697425
AMBUJACEM.NS,0.003756368159375314
ASIANPAINT.NS,-0.0007754681937748764
AXISBANK.NS,0.002514949272747759
BAJAJ-AUTO.NS,0.005332330293965098
BANKBARODA.NS,0.007460640531509015
BHARTIARTL.NS,0.006606558187935691
BHEL.NS,0.008991610976808744
BOSCHLTD.NS,0.005318696701804712
BPCL.NS,0.003371247695427355
CIPLA.NS,0.0031063688393256433
COALINDIA.NS,0.007838779294156674
DRREDDY.NS,0.0021121818360180736
GAIL.NS,0.004997644726819052
GRASIM.NS,0.0034225555510255293
HCLTECH.NS,0.004857748228856078
HDFCBANK.NS,0.0015478800078211796
HEROMOTOCO.NS,0.0032726526402044307
HINDALCO.NS,0.003881853226866127
HINDUNILVR.NS,0.0004978005608149974
ICICIBANK.NS,0.00435282086209025
INDUSINDBK.NS,0.0008164897870669527
INFY.NS,0.0021086594934239936
ITC.NS,0.005721799249613168
KOTAKBANK.NS,0.0005081011650206456
LT.NS,0.0055038975178761515
LUPIN.NS,0.004386211430570912
M&M.NS,0.008369847522758947
MARUTI.NS,0.0026599045331898792
NTPC.NS,0.007200294567601979
ONGC.NS,0.005727516083972676
PNB.NS,0.006243847852692135
POWERGRID.NS,0.006483083009540776
RELIANCE.NS,0.0017460719898482828
SBIN.NS,0.004228758449246685
SUNPHARMA.NS,0.006154907045073391
TATAPOWER.NS,0.007740752046002424
TATASTEEL.NS,0.0024481456532176645
TCS.NS,0.001974409204753427
TECHM.NS,0.004063259278857725
ULTRACEMCO.NS,0.0033743838083497507
VEDL.NS,0.008049432603334341
WIPRO.NS,0.0013412821071317625
ZEEL.NS,-0.0006309888676211315
