,ACC.NS,ADANIPORTS.NS,AMBUJACEM.NS,ASIANPAINT.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BANKBARODA.NS,BHARTIARTL.NS,BHEL.NS,BOSCHLTD.NS,BPCL.NS,CIPLA.NS,COALINDIA.NS,DRREDDY.NS,GAIL.NS,GRASIM.NS,HCLTECH.NS,HDFCBANK.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,INDUSINDBK.NS,INFY.NS,ITC.NS,KOTAKBANK.NS,LT.NS,LUPIN.NS,M&M.NS,MARUTI.NS,NTPC.NS,ONGC.NS,PNB.NS,POWERGRID.NS,RELIANCE.NS,SBIN.NS,SUNPHARMA.NS,TATAPOWER.NS,TATASTEEL.NS,TCS.NS,TECHM.NS,ULTRACEMCO.NS,VEDL.NS,WIPRO.NS,ZEEL.NS
ACC.NS,0.0016992100364529774,0.001312943954049331,0.0016159589520866847,0.00043260283105379943,0.0004333344199258877,0.00012653418010869223,0.0008411556603444149,0.00030688191452409844,0.0010135622418557598,0.0004648379604051032,0.0004764300733911284,0.0002966558001690791,0.00032663495919633723,0.00016808110117645897,0.0004387018511376358,0.000668247030862518,0.00011186205774677445,0.0003026891294862083,0.0003300046691541287,0.0005304240877004927,0.00010489272709365118,0.0005148170768365626,0.0005842397566407305,0.00011804090503603815,0.00019699701940198924,0.00016959071193841437,0.0006266513437141755,0.0002647015052146609,0.00036536422593599086,0.00025355489264142705,0.0005241374396263554,0.00033938106406697973,0.000860253771121306,0.00029976564205472364,0.0003743181904697345,0.000702244569021773,0.00029286342987872477,0.000785421356031928,0.0006609462704836323,0.00015875963235699166,4.522855918202461e-05,0.000669212560370098,0.0006099582033525177,0.0003221551547589024,0.0004799309534514776
ADANIPORTS.NS,0.001312943954049331,0.002790722572755157,0.001505281967839256,0.000514878740776508,0.0005447939986905849,0.00016544544489328162,0.00111840755249116,0.0002539044362659462,0.0012066834469283152,0.0004742441758173992,0.0009563052378915861,0.0002733217685534594,0.0007196687317147303,0.0002758106376598259,0.0007421256028077723,0.0006218196238973531,0.00022428805779196867,0.00045391379424625174,0.00029657845216515783,0.0006588784654117662,0.000108744363612021,0.00047402159246189604,0.0009012264479378298,0.00015196139579261972,0.0002499099401576957,0.0003264018518129086,0.0007071730434327507,0.0002904745357474334,0.0003274790446135264,0.00020472038508103588,0.0007358977954731174,0.0006801619068933735,0.0012518678080509673,0.0005113461491499613,0.0006703408660492321,0.0008911864324183241,0.0002809091334607541,0.0012623260967306322,0.0006015455417400311,0.00024183481998645505,0.00021476005133592535,0.00039619292069198334,0.0009184100024070594,0.0003173138479179477,0.0010088931691685644
AMBUJACEM.NS,0.0016159589520866847,0.001505281967839256,0.0021690583862698687,0.0004495711086313601,0.0004441231596676751,2.30019560983069e-06,0.0008153966867047686,0.00026486318972739406,0.0009388879652742846,0.0003957748326748342,0.0004778259080359567,0.00021866714435984631,0.0002382126841159959,0.00018452855445103193,0.0004021508850205681,0.000683506912838575,0.00017248700351769818,0.0003267178798479133,0.00026394391750436533,0.0004925919597112741,0.000137905806362068,0.000564177711142475,0.0005970294667881474,5.567475353990831e-05,0.00020444240775729353,0.00014789964349455566,0.0006568423389029516,0.00026951266409044883,0.00034525242384212925,0.0002228453797390963,0.0004415920956623836,0.000292444099522828,0.0008447442162181886,0.0001789641179152769,0.000348095804621085,0.0007180489567967087,0.00028810468808008924,0.0007308741222400145,0.0006241607278900333,0.00013578057130138319,5.0280949152884306e-05,0.0007351582050965246,0.0006102476023998941,0.00029310711429032837,0.0005220255208815664
ASIANPAINT.NS,0.00043260283105379943,0.000514878740776508,0.0004495711086313601,0.001185911992641575,0.0002786876743774899,0.00033485048387768947,0.000257189858972233,0.00028552148660717855,0.00036824292713737004,0.00035223551107118424,0.0003294977396685165,0.00013064172199818186,7.650354706626975e-05,0.00021533609762735574,6.548789325104342e-05,0.00046040812826702324,0.00016900847023574426,0.000314278866667009,0.0003498832643126043,0.00020917814230180667,0.000485988155825226,0.00029779239823849574,0.00042085964788088245,0.00014476778696953627,0.0002750959434702981,0.00016752186154387003,0.00031927990599247674,0.0002532492441891441,0.0003202341945092077,0.000344993758033282,0.00012166589916207488,0.00011840546459622441,0.0001645004389641407,-9.974067902709996e-06,0.00028977654942251594,0.0002847715784983824,0.00019784661665299524,0.00024332351803815826,0.0002465136566501619,0.00028101416930984506,0.00017005774830823497,0.00046535402280716335,0.0001859791090399006,0.0003079979473804308,0.000554993930724421
AXISBANK.NS,0.0004333344199258877,0.0005447939986905849,0.0004441231596676751,0.0002786876743774899,0.0012087864856268964,0.00031389877586936545,0.0007352207454506333,0.0003235250564010207,0.000621194255163683,0.0003546022592217319,0.00039064321644835564,3.753021380968345e-05,0.0003546167605810458,0.00011660485692084908,0.00036053897948219716,0.0004437821233307016,0.000172257315548524,0.00041421547235350354,0.0002670809687111887,0.0003690148523750403,0.00025177445736701516,0.0005574668587957611,0.0007060096644027173,0.0001249420933856963,0.0002688670795342274,0.00034046251717679475,0.000416684008627245,7.60672146788368e-05,0.00034407499250648573,0.0004103272759188616,0.00040956296431947657,0.0002864245222543026,0.0007222208699591531,0.000183051973612874,0.0003592069947169869,0.0006177615244396541,3.741697802654379e-05,0.0004777415741537885,0.0003109596626900545,0.00021011112205788417,0.00018797207577484672,0.00039830386027720003,0.0004701509667602608,0.00034373912797647054,0.0004247828887935805
BAJAJ-AUTO.NS,0.00012653418010869223,0.00016544544489328162,2.30019560983069e-06,0.00033485048387768947,0.00031389877586936545,0.0012015464317117674,0.00041477889939579073,0.0003153133990145161,0.0005262149287123518,0.000408564484817772,0.0002782240149405773,0.0002560860476548879,0.0002482510136658303,0.0003260306549308625,0.0002583055008757976,0.00030864508837087775,0.00014629943425042313,0.00028518725374132223,0.0006576449333650915,0.0002654156920395762,0.0002885607020608165,0.000160102220706912,0.00036667291084845863,0.00011853935750840119,0.00024654643169680666,0.00029841855136193246,0.000181147709902547,0.00026678667508898165,0.0004836794415399858,0.0005270937735232174,0.0003070710134009783,0.00021704471734917895,0.0003884984557099626,0.00011731454968337405,0.0002378113260245177,0.00027833370546110644,0.00031228358492686704,0.000525374446566921,0.00030825614207310835,0.00011911475745517433,3.6455013934349e-05,0.0002951943105911002,0.0002285274629880969,0.00015499937618879218,0.00023764896239595362
BANKBARODA.NS,0.0008411556603444149,0.00111840755249116,0.0008153966867047686,0.000257189858972233,0.0007352207454506333,0.00041477889939579073,0.0021915336178622157,0.00035516496391365884,0.001287558390635566,0.0006469613353391704,0.0007823850776502319,0.00022137495494833234,0.0007198488307100749,0.0002502487020131432,0.0006299620366812032,0.0005994972654025237,6.726270501846289e-05,0.00047770529460207145,0.0004968928311129258,0.0007092313669152325,0.00014884519383491778,0.0006437749967447952,0.0009541834233122574,0.0001369568750634944,0.00023670499181348644,0.00040183718519797723,0.0005602051103885358,0.0002702273378589034,0.0005668838259523501,0.00041671470527355076,0.0006377891653302366,0.0006366394075963897,0.0017245395866657051,0.0002896552467762042,0.00048231288253026375,0.001147898681225055,0.00018431532167683897,0.0010182786366481232,0.0007218534015781771,0.0002447383357753566,6.325213283041352e-05,0.0005295729951158081,0.0007983555280153327,0.00021512210620622707,0.0009537772447948951
BHARTIARTL.NS,0.00030688191452409844,0.0002539044362659462,0.00026486318972739406,0.00028552148660717855,0.0003235250564010207,0.0003153133990145161,0.00035516496391365884,0.0008539290289975301,0.00024913662719037294,0.000282987213448069,0.00021035848395450118,0.00019345572669730662,0.00012593145345958577,0.00011470321477728796,0.000162140358066533,0.0003310417011048711,0.0003268068795065052,0.000256621473660644,0.0003143169273953218,0.0002650332535638162,0.00020367947404795135,0.00031274230826610684,0.0003555647365002523,0.00028540412121616217,0.00024254421909650136,0.0003573256431589529,0.0003334839104416765,0.0001910287176902077,0.00024005681609968904,0.0002263464583609189,0.00015076514805483125,0.0001727191543774068,0.0003181780805041764,6.992062737944858e-05,0.00027752073148739394,0.00022448261456514977,0.00016590225450254024,0.00030668013728923265,0.00017697198738928052,0.0002661771016420049,0.0003084312552175694,0.00030653465232060055,0.0003873306639309135,0.0002721869659531886,0.00037571546388122054
BHEL.NS,0.0010135622418557598,0.0012066834469283152,0.0009388879652742846,0.00036824292713737004,0.000621194255163683,0.0005262149287123518,0.001287558390635566,0.00024913662719037294,0.003891413705427052,0.0007451989505675928,0.0011606380839357512,0.0005925843120015146,0.0012616469096769665,0.0005257054135332116,0.0013356266155977773,0.0009804319902505557,0.00010441960286369235,0.00029990067740611045,0.0007535484372372645,0.0012877563959838507,0.0002230545421257223,0.0004789409615866925,0.0009183936981976195,6.704256578455663e-05,0.0005114743677310314,0.00024506815400920543,0.0009709596768845163,0.0007082919607865265,0.0008680354285015015,0.0006055709025162503,0.0012377230249242621,0.0010741903563458474,0.0017342473358305055,0.0007787887113196358,0.0006661586216597525,0.0009542276643200171,0.0005461909087696857,0.00178786240564286,0.0013281603568255538,0.00010591025096897194,0.00011736629455987936,0.0007197849990853579,0.0011136652091001484,0.0003468449917339357,0.0013957530174650897
BOSCHLTD.NS,0.0004648379604051032,0.0004742441758173992,0.0003957748326748342,0.00035223551107118424,0.0003546022592217319,0.000408564484817772,0.0006469613353391704,0.000282987213448069,0.0007451989505675928,0.00108467992312888,0.0005139294032395865,5.795093668399548e-05,0.0004522618392993497,0.00027692588747912764,0.00040430456882403434,0.0004117929248633737,0.00024707902542727735,0.00030154867961898897,0.0004657647588834893,0.0003981158896679819,0.00022682609452463957,0.0003174396546182307,0.0004843040850691507,0.00023568078575990467,0.0002592704677898336,0.000262193354097279,0.00043978784668352605,0.00017035829139114793,0.0006159873879654876,0.0005274372083211542,0.00042835462979226834,0.0003586085905479158,0.0005824671681542741,0.00012662227843714534,0.0003696837397316983,0.00045980935700867684,0.000247519066447494,0.0005493188489045184,0.00045545130373564395,0.0002429839879773358,0.00017847851580160665,0.0004724735077586542,0.0003270861057221083,0.00035924991878413516,0.0004755207772316423
