,mean_return
ACC.NS,0.0008944050617361156
ADANIPORTS.NS,0.0016997208018321446
AMBUJACEM.NS,0.00014682647021930484
ASIANPAINT.NS,0.003866833917949503
AXISBANK.NS,0.002430918807701223
BAJAJ-AUTO.NS,0.0019381367302458456
BANKBARODA.NS,-0.0010422041556541293
BHARTIARTL.NS,0.0021140642038965664
BHEL.NS,-0.003927433286368799
BOSCHLTD.NS,-7.201210191668187e-05
BPCL.NS,0.005061006798462923
CIPLA.NS,-0.00042652950364843734
COALINDIA.NS,-0.000587924422157812
DRREDDY.NS,0.0006222613083730177
GAIL.NS,0.0010112719614032923
GRASIM.NS,0.002068974943867231
HCLTECH.NS,0.002167501341901296
HDFCBANK.NS,0.004110759522192866
HEROMOTOCO.NS,0.00015394322713746693
HINDALCO.NS,0.0025749236838294577
HINDUNILVR.NS,0.004374103640662909
ICICIBANK.NS,0.003103290691620636
INDUSINDBK.NS,0.0032303993181864777
INFY.NS,0.00250834809587569
ITC.NS,0.000723667925099357
KOTAKBANK.NS,0.004192381514052147
LT.NS,0.001737209819781689
LUPIN.NS,-0.0013423285610539932
M&M.NS,0.0002314042938209445
MARUTI.NS,0.003766062974210228
NTPC.NS,0.0008819889099848668
ONGC.NS,-0.0009490074757826842
PNB.NS,-0.0024194600814535284
POWERGRID.NS,0.0019834761792698915
RELIANCE.NS,0.005615336770241136
SBIN.NS,0.0014997130669997492
SUNPHARMA.NS,-0.0014330527034461377
TATAPOWER.NS,-0.00047015931853064196
TATASTEEL.NS,0.002213639916275972
TCS.NS,0.002955245639078179
TECHM.NS,0.0017350188512693693
ULTRACEMCO.NS,0.0021399668939749775
VEDL.NS,0.0013112504899862845
WIPRO.NS,0.0012472265692206387
ZEEL.NS,0.0005605932295156623
