,ACC.NS,ADANIPORTS.NS,AMBUJACEM.NS,ASIANPAINT.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BANKBARODA.NS,BHARTIARTL.NS,BHEL.NS,BOSCHLTD.NS,BPCL.NS,CIPLA.NS,COALINDIA.NS,DRREDDY.NS,GAIL.NS,GRASIM.NS,HCLTECH.NS,HDFCBANK.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,INDUSINDBK.NS,INFY.NS,ITC.NS,KOTAKBANK.NS,LT.NS,LUPIN.NS,M&M.NS,MARUTI.NS,NTPC.NS,ONGC.NS,PNB.NS,POWERGRID.NS,RELIANCE.NS,SBIN.NS,SUNPHARMA.NS,TATAPOWER.NS,TATASTEEL.NS,TCS.NS,TECHM.NS,ULTRACEMCO.NS,VEDL.NS,WIPRO.NS,ZEEL.NS
ACC.NS,0.0011920111087478876,0.0006497918647091892,0.0010155943210693554,0.00040725576819902184,0.00046370643439831694,0.000375354404765455,0.0007416317307842512,0.0003643792896216623,0.0007629188765001832,0.0005224545432596957,0.0003935116817423946,0.00018511327077901836,0.00023774223139892686,0.00024005506786924533,0.00046390917836088024,0.0007611378894446384,0.0001276340463657028,0.0002586459528193983,0.0004700362405266704,0.0005320665160347403,0.0002961575772762398,0.0005953698184264301,0.0006032717973970334,6.882368187285474e-05,0.0004006996310133841,0.00030149800284675645,0.0005578374161716472,0.0003117969559170505,0.0004344389633251226,0.0003947757418509208,0.0002515613310582132,0.00030238431576213735,0.0007010936324242334,0.0002136153234734147,0.00026496226402566335,0.000724810945298512,0.00033458169006188575,0.0005354819828344914,0.0005028188519434667,0.0001626736136489776,0.00010905070110603179,0.0007992549141464772,0.0006280424628335244,2.5994804579199088e-05,0.000414356093279963
ADANIPORTS.NS,0.0006497918647091892,0.002243734984786334,0.000679785782499275,0.00040788207219217176,0.0006127415046711445,0.000548614623516688,0.0011136245275733512,0.00044169507720268395,0.0010629821821847667,0.0005494335258906313,0.0005857725110655921,0.00030032492530249053,0.0004264572358524385,0.000516504237685617,0.0004789097217002107,0.0006491829724085953,0.00013086358350962047,0.00039541133044870705,0.0005110034878831347,0.0008397644693669068,0.00038524670819046266,0.0010418072963844511,0.0007589386994520153,0.00021078859749614384,0.0004553734092360597,0.0006341661629495465,0.0008084016286870386,0.000315250451280765,0.000493147505674653,0.0005671814281406254,0.0003710225010082858,0.0006525195472619379,0.0012434004556420772,0.0003299930315889556,0.0005430295482273661,0.001042313333786619,0.0002926230453411579,0.0009281051544735338,0.0008494648595124492,0.00023844690681333464,0.00039743347667280023,0.0007311008191781533,0.0010928142383050297,0.00024814502137282773,0.0005224147077910385
AMBUJACEM.NS,0.0010155943210693554,0.000679785782499275,0.0013053407583001454,0.00037135567375094547,0.0004650298366293806,0.0003842247741534758,0.0006130191641258744,0.0003735819770374641,0.0008047238851201152,0.0005308711641248355,0.0004274394350846076,0.00030489723881780965,0.00029210635030934976,0.0002750156335118609,0.00045098793452859597,0.0007700049803355475,0.00016508067152212213,0.0002482705273835375,0.000526067202454867,0.0005491130188959523,0.00034445286675104087,0.0006244730181470608,0.0006639492272964921,0.00010442270995782621,0.00035543424969792777,0.000319656930650686,0.0005403776205237046,0.00032640389187803764,0.00042328014385022367,0.00043755695121408566,0.00027668830241076926,0.0003885782962156868,0.0007046623792477228,0.00020090559434640906,0.00032031690941861015,0.0007697601724506217,0.00044126035464061864,0.0005965535683381514,0.000461097969862914,0.00015991557224186105,0.0002240806356266576,0.0008071012916799819,0.000705049709389603,0.00013405134082680305,0.000527669109746336
ASIANPAINT.NS,0.00040725576819902184,0.00040788207219217176,0.00037135567375094547,0.000886847785526025,0.00036305678548714527,0.00025984413987871106,0.0003275885481170351,0.00013507811610738473,0.0002228570477510533,0.0003930911413215593,0.00035685923406511766,0.0001557246848917587,0.00011390586981381882,0.00017836541997063904,0.0001373800566447257,0.00032512789801435415,0.00012500896748156447,0.00022283590124821397,0.0003619379356966568,0.0002667682738597361,0.00038523281116743406,0.0003339424309037751,0.0004751672678084897,0.0001312725182952528,0.00020905682749073546,0.0003334505989712589,0.0003550620346841536,0.00012287488363395914,0.00036576739442009595,0.00037360153376808403,3.259459208764345e-05,0.0001985642222065381,0.00032182222527406154,0.00015799330601858403,0.00035034426771668475,0.00029988851730965757,0.00022136653396811752,0.0002531288950719458,0.0002756545960259563,0.00014975883099515366,6.761009347284734e-05,0.0004483021133213905,0.0001279523315311332,0.00015721322606778582,0.0003329861304285819
AXISBANK.NS,0.00046370643439831694,0.0006127415046711445,0.0004650298366293806,0.00036305678548714527,0.001623280046046529,0.00030456209208583606,0.0010383451754767045,0.00029071151166884247,0.0008620630209513879,0.0005248934376102164,0.00046687993299676894,0.0002574087713251779,0.0002749866570257344,0.000313313913950804,0.00046174824884174804,0.000529564509465585,0.00020496733551740164,0.0002933969662886353,0.00039880215660937344,0.0005494538353641733,0.000186506136101767,0.0010562846732384257,0.0006010250885159383,0.00016381273284908477,0.00020434693885106687,0.0003194007637218063,0.0006243743121093257,0.0002925636512023517,0.00037213620547383474,0.00046756730219024386,0.0002812869863119459,0.00045177548849566245,0.0010605646646014725,0.00019714616856460608,0.0004149818903922319,0.0010440811997919327,0.0004191655284959919,0.0005480450179298579,0.0006191756353955596,0.00015391532235775593,0.00030878306216822193,0.0004709624339663342,0.0005454467156901396,0.0001979547405011311,0.0005362830044141197
BAJAJ-AUTO.NS,0.000375354404765455,0.000548614623516688,0.0003842247741534758,0.00025984413987871106,0.00030456209208583606,0.0009131687681066667,0.0003403628760208837,0.00022407701047788797,0.0004469306433171172,0.00035337082992995873,0.00026501277574725134,0.00025809353495692683,0.00022239938172120694,0.00038592165374548646,0.0004109177551119255,0.0003283747514130422,0.00018628379592629005,0.00023086410240203214,0.0006162825142019548,0.0004513243766111677,0.00029522898940167016,0.00043292860712451317,0.0003756730727640812,7.647219573945293e-05,0.00018590710963930918,0.00037526376254244767,0.0003595732200117906,0.00019849128429307155,0.0004518086161139181,0.0004547148622979763,0.00015902500335570615,0.0003384253130271831,0.0004375036214465305,0.00011034988864219825,0.0003408468397164879,0.00041320289556592225,0.00024256769345172468,0.000382038353627376,0.00041047767754965404,0.00023082573009102666,0.00017927675494212156,0.0004381041077459907,0.0004454286216118109,0.00015928018618169228,0.0004644460789049589
BANKBARODA.NS,0.0007416317307842512,0.0011136245275733512,0.0006130191641258744,0.0003275885481170351,0.0010383451754767045,0.0003403628760208837,0.0034421598873693717,0.0005207138569608837,0.0012744975485082849,0.000646483725696668,0.0004985973519574884,0.0005208223749790434,0.0005621542144150229,0.0005523749686826087,0.0006170314367799821,0.000750407199541719,-3.2662217870774434e-05,0.00022803146705110107,0.0006248997323508688,0.0008619252949662548,0.00018369875597396506,0.0013807460262042187,0.000798536215658641,6.0459123515975366e-05,0.0004183826094199775,0.0003675051252827615,0.0009427070217630058,0.00040485338902157726,0.0005961121841478954,0.0005927506933835698,0.0004822497060138967,0.0005787015171044527,0.0028677734880533097,0.00047593862823935124,0.0003217491039915272,0.0021322156377003797,0.0004794399182011545,0.0009463121034486177,0.0009182348949143115,-7.72322003817174e-05,0.00017992208909338938,0.0006843391012202004,0.0008622689799616688,6.353353737569691e-05,0.0007790118447919016
BHARTIARTL.NS,0.0003643792896216623,0.00044169507720268395,0.0003735819770374641,0.00013507811610738473,0.00029071151166884247,0.00022407701047788797,0.0005207138569608837,0.001664822238494746,0.00028502519055822415,0.0002661277501078781,0.0002061717698086617,0.0002382980702518355,0.0002766806044843637,0.00024386302892628146,0.00026058813841303816,0.00047686822088284405,5.266158614013476e-05,0.0001694094845391734,0.0003185040636900061,0.0004465892241829113,0.00024394009603689892,0.00039926530141333043,0.00024370220628493173,4.340513077974179e-05,0.00014637884826122525,0.0001487320419096495,0.00030314279344948825,0.0003862629165107094,0.0003265515812590989,0.00024920824527831524,0.00023556027608674055,0.000350290422667471,0.0005587707340880902,0.00016151711096846206,0.0002838202381769753,0.00043410712522906565,0.0001694873242363159,0.0003795819724978167,0.00043325938397672625,-3.82912815332406e-05,-2.627381248847745e-05,0.0002934116393248292,0.0005003300625801886,5.455096959448121e-05,0.000189070127334138
BHEL.NS,0.0007629188765001832,0.0010629821821847667,0.0008047238851201152,0.0002228570477510533,0.0008620630209513879,0.0004469306433171172,0.0012744975485082849,0.00028502519055822415,0.002660578875531402,0.0007155477856837573,0.0006666446911130371,0.0004550330613989067,0.0005892599821694241,0.0004652172772453802,0.0009046515702453979,0.0009096527472958437,0.00016289824080240948,0.00040145565009287536,0.00047453080214320415,0.0007301295986933742,0.00024817354512048995,0.0010397853996192946,0.0008380140518392578,-1.846956379445206e-05,0.0004153685051634816,0.0003780603714741567,0.0009001843107577504,0.0005592668645157926,0.000539039558624831,0.0006395388409432481,0.0005406938847244453,0.0008047819357738027,0.0017572404267118741,0.0004102998336594212,0.0004796234142427895,0.0012448013219800449,0.0005998935599083945,0.0009064789859082939,0.00086194836330925,0.0001693284015525356,0.00029146074444669,0.0007461563250262815,0.0010407097016528592,0.00019309242952141834,0.0009321245732911302
BOSCHLTD.NS,0.0005224545432596957,0.0005494335258906313,0.0005308711641248355,0.0003930911413215593,0.0005248934376102164,0.00035337082992995873,0.000646483725696668,0.0002661277501078781,0.0007155477856837573,0.0014277765892143014,0.00044803250349741077,0.0003617028880368071,0.00028454916057579196,0.0003590796188127773,0.00034129255622442685,0.0005251091181408274,0.00020449983534333443,0.0002584998252514645,0.00044392907391057083,0.00046268351882311595,0.0003044651834659877,0.000531767662366982,0.00050346408930332,0.00010645402738209424,0.0004184557503211916,0.00025921542343010107,0.00045401916722696573,0.0003200432296349354,0.0004253858755999386,0.00047126923707133296,0.00032906924261931464,0.00044231453038721323,0.0006305532463928035,0.00028629368809641,0.0002993793084114968,0.0006631429267917976,0.0004897051419701571,0.00044173001670695953,0.000478801337308352,0.00019293218743231366,0.00018597979301295992,0.0005554518552619135,0.0005256680076249113,0.00021099839182311058,0.0006570600345094816
