Sector,Nifty50_wt,Universe_wt,TP_pre_wt,TP_post_wt
Cement,0.031,0.0,0.0,0.0
Consumer,0.126,0.17777777777777778,0.32054615863910046,0.40016391115965855
Energy,0.118,0.15555555555555556,0.24401090012970175,0.07518953693672778
Financials,0.363,0.17777777777777778,0.3859421656053363,0.08744683021322443
IT,0.131,0.1111111111111111,0.04950077562611872,0.08324065200608201
Industrials,0.062,0.13333333333333333,0.0,0.05419327000509375
Metals,0.044,0.08888888888888889,1.1044892260812207e-15,0.0378287738194714
Others,0.04,0.022222222222222223,0.0,0.0
Pharma,0.047,0.08888888888888889,1.7560802358661395e-14,0.09158640334286836
Telecom,0.038,0.044444444444444446,2.4695121896514865e-15,0.17035062251688635
