,ACC.NS,ADANIPORTS.NS,AMBUJACEM.NS,ASIANPAINT.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BANKBARODA.NS,BHARTIARTL.NS,BHEL.NS,BOSCHLTD.NS,BPCL.NS,CIPLA.NS,COALINDIA.NS,DRREDDY.NS,GAIL.NS,GRASIM.NS,HCLTECH.NS,HDFCBANK.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,INDUSINDBK.NS,INFY.NS,ITC.NS,KOTAKBANK.NS,LT.NS,LUPIN.NS,M&M.NS,MARUTI.NS,NTPC.NS,ONGC.NS,PNB.NS,POWERGRID.NS,RELIANCE.NS,SBIN.NS,SUNPHARMA.NS,TATAPOWER.NS,TATASTEEL.NS,TCS.NS,TECHM.NS,ULTRACEMCO.NS,VEDL.NS,WIPRO.NS,ZEEL.NS
ACC.NS,0.0003672198874756533,0.00031164006436396367,0.00035858500338303845,6.98189181140122e-05,9.216078383683861e-05,7.164977540964705e-05,0.00020212109716690791,7.351918487239834e-05,0.00022150286248351155,9.63939747535448e-05,0.0001265054257781824,2.3649288417897973e-05,0.00011395260096355942,3.658338884949344e-05,0.00013334991317780518,0.0001429782391180889,5.146573796014955e-05,8.040113072844999e-05,8.50861982110086e-05,0.00013131962957433333,3.47987811136914e-05,8.54313867751835e-05,0.000132043290284657,5.6988050495944554e-05,4.768434592136597e-05,6.168929354780526e-05,0.0001124325565312626,6.583131075778505e-05,0.00010085792577267094,8.201862889245095e-05,0.0001240099130424969,8.91840498501316e-05,0.00019405695778345393,9.28580088033077e-05,9.599692825643848e-05,0.00015067727131474234,4.6976409816712404e-05,0.00017067954663192158,0.00014832966706460467,4.999399806728479e-05,5.981672627426604e-05,0.00014239125920570615,0.00014095124800198993,8.435866428393008e-05,0.0001727899970822309
ADANIPORTS.NS,0.00031164006436396367,0.0006227234087808161,0.0003797477915283608,8.602003302569311e-05,0.00012840345443687832,8.100782432685105e-05,0.0002764914896924471,0.00010563961300588094,0.00029340258618264415,0.00012464550424534537,0.00018195905250733424,3.801471243128205e-05,0.00018953194204464108,5.7434597218994445e-05,0.00017884121239050853,0.00015222148335325447,8.383485288793295e-05,0.0001139773138001759,0.00011181520739258324,0.000166374592512965,4.123055700511976e-05,0.00011698975473292659,0.00018445479094983546,7.936224104161914e-05,8.0683171962329e-05,9.992665729525318e-05,0.00015897434559333117,0.00010142885975429993,0.00014879130671511693,0.00010670754372565676,0.00018099217623232592,0.00015889806340688343,0.00028849196747417465,0.00014643819570822568,0.00014496867500882204,0.00020912930471260021,7.697859019756833e-05,0.00025731447893505613,0.0001844820185766861,7.478888773987421e-05,0.00010536821325555683,0.00013147872916594342,0.00021097198011059052,0.00011090194441948177,0.00024140333324107168
AMBUJACEM.NS,0.00035858500338303845,0.0003797477915283608,0.0005093005835358975,7.310778053896916e-05,9.656434920612034e-05,7.305644396061638e-05,0.00022549621212516842,7.189101311419364e-05,0.00023633498337750873,9.502489181013437e-05,0.00013662238912438363,1.9757458173242002e-05,0.0001221905767989889,3.271494797808442e-05,0.00013838883808241478,0.00014844258410284895,5.246521181101469e-05,7.95869540592867e-05,8.91706646583539e-05,0.0001241691084618893,3.5713461417223435e-05,9.166585206483654e-05,0.00013807739000995753,5.126889055594509e-05,5.947781621249924e-05,6.631731877690629e-05,0.00012132081527419096,6.80198819427837e-05,0.00010550133776566696,9.095547118034938e-05,0.00013577149124477058,9.973122628965844e-05,0.00020596431364735372,9.532479433876792e-05,0.00010528501667264777,0.00017266704609768938,5.374153094618661e-05,0.00019079189620455804,0.00014342027349216918,4.515174744840241e-05,6.421808150044271e-05,0.00015274757260937396,0.00016000185704001256,7.656204621865418e-05,0.00017644033194277745
ASIANPAINT.NS,6.98189181140122e-05,8.602003302569311e-05,7.310778053896916e-05,0.00019571038438835725,3.040612433662943e-05,4.0724106204344186e-05,3.87952355716509e-05,3.58878365402878e-05,5.9372132474281714e-05,5.536127971547327e-05,5.2028354101365916e-05,1.8790419528006266e-05,1.670762000656713e-05,3.0312244975106712e-05,1.1835199316313533e-05,7.53365102943191e-05,3.774731992151009e-05,4.2887528046637663e-05,5.186288214169808e-05,2.8955239149290177e-05,6.99426117756141e-05,3.793717222934112e-05,7.155630580923485e-05,4.765819557571066e-05,3.431445286579171e-05,3.867939007539983e-05,5.400925411457269e-05,4.723907622833014e-05,5.0517785696021825e-05,6.273185100452184e-05,2.2910162432289257e-05,-7.64098044067618e-06,4.5080809425258815e-05,1.9725350903258726e-05,4.6923227512742225e-05,4.0931663532613394e-05,3.214375502823188e-05,5.183863427569717e-05,3.127455744160304e-05,5.037473492383097e-05,4.8167969874339045e-05,6.71280718211974e-05,1.893022689997874e-05,5.264664252865861e-05,6.805034403427753e-05
AXISBANK.NS,9.216078383683861e-05,0.00012840345443687832,9.656434920612034e-05,3.040612433662943e-05,0.00023675756162959844,5.539534270958762e-05,0.00016588356279245573,5.461520310184232e-05,0.0001300220531788952,6.926279502792669e-05,6.942757780234466e-05,2.2624338681760997e-05,8.965981560758397e-05,3.074533531028664e-05,7.64511703005225e-05,8.704349212924099e-05,4.061256235455008e-05,8.525253067114763e-05,6.0372553716794195e-05,8.722325434101933e-05,4.3018421763899834e-05,0.00012387261000629734,0.00013472331970795212,4.006812223287095e-05,4.911890062131129e-05,8.68090593100767e-05,8.459950756147235e-05,4.40503448714047e-05,8.29212995587638e-05,7.414720471009811e-05,7.898583415228661e-05,6.873933929689853e-05,0.00015375838144254044,5.560264114113613e-05,8.323827662338471e-05,0.0001372385616390353,2.5179056908874823e-05,0.0001100467118290271,0.00010106187549102881,3.966377506550128e-05,5.064932932703714e-05,7.604490310383331e-05,0.00010215055098265215,6.039814125595462e-05,0.00010815910250840582
BAJAJ-AUTO.NS,7.164977540964705e-05,8.100782432685105e-05,7.305644396061638e-05,4.0724106204344186e-05,5.539534270958762e-05,0.000229308375073886,8.18338099620655e-05,5.406866191903855e-05,0.0001102347510026542,8.322816628033181e-05,6.313430571228572e-05,2.043144431465178e-05,5.7384569554947386e-05,3.732213045237679e-05,6.122636007158682e-05,5.5781748501728216e-05,3.2250411576555936e-05,4.6539394238074e-05,0.00010986537873920148,6.609988118689178e-05,3.908530952470997e-05,3.327553693256071e-05,7.153612184907223e-05,2.3056916672565936e-05,3.713804883613004e-05,4.3942833649618054e-05,5.4803969212214375e-05,4.824551216423671e-05,9.026066196050459e-05,8.981349855163474e-05,5.601673415283334e-05,5.263514225511734e-05,7.346110602206705e-05,4.3437608228263386e-05,5.7680271880105096e-05,5.657900949872194e-05,4.033260605682174e-05,9.444868167812495e-05,6.794406465262354e-05,2.5073827225403396e-05,3.213090784719031e-05,5.220626814738854e-05,7.13072735686039e-05,3.7210400466104e-05,6.95882663321682e-05
BANKBARODA.NS,0.00020212109716690791,0.0002764914896924471,0.00022549621212516842,3.87952355716509e-05,0.00016588356279245573,8.18338099620655e-05,0.0005043195552370074,7.516357435003456e-05,0.00031152952916346235,0.00012697270303982172,0.00017835034367690074,3.0885010397616294e-05,0.0001881593544337653,3.824182781164455e-05,0.00018514801264181172,0.00013485947133279192,5.281731144089948e-05,9.684862166265947e-05,0.00010799281797511232,0.00015927012829301574,2.0651346385678095e-05,0.0001375896422033026,0.0002113081165601923,5.572760145477856e-05,7.785361100952801e-05,9.777360779620563e-05,0.00012798770752014607,6.958617215860812e-05,0.00013208766177747673,0.00010382775023666833,0.00016842317810534128,0.00013518386623829494,0.00037884964656416126,0.00013391501832632846,0.00012848392395925336,0.00028031663363045726,5.355508569517722e-05,0.000251035553293112,0.00019063094354032599,5.3079185978308774e-05,7.809085714537855e-05,0.00011359453624796424,0.00020449445619115576,7.527712533813197e-05,0.00021631129190293242
BHARTIARTL.NS,7.351918487239834e-05,0.00010563961300588094,7.189101311419364e-05,3.58878365402878e-05,5.461520310184232e-05,5.406866191903855e-05,7.516357435003456e-05,0.0002056936985321855,8.657840896352027e-05,5.159428244925239e-05,5.751967401353582e-05,2.7407124909530724e-05,6.774342028014043e-05,3.107648133400189e-05,6.56003249900222e-05,7.068978927633378e-05,5.9778151899927406e-05,5.211654027408204e-05,5.1004455861060754e-05,8.888323750754268e-05,2.7709952175755348e-05,6.167184728112188e-05,7.961974901595005e-05,5.835356036315951e-05,4.2802918436426725e-05,6.21806175465311e-05,6.7517317962754e-05,4.629734493014912e-05,6.577655596085339e-05,6.133840091512539e-05,6.0862349582603494e-05,7.534711515497216e-05,7.959787639387712e-05,4.877346848121178e-05,6.543151898721101e-05,6.866304297305142e-05,3.978659866594154e-05,9.007980509137185e-05,8.00855640600819e-05,4.569424515173426e-05,6.54413915118182e-05,5.927650631352849e-05,8.566910073708746e-05,6.126093638105616e-05,5.8596938918381045e-05
BHEL.NS,0.00022150286248351155,0.00029340258618264415,0.00023633498337750873,5.9372132474281714e-05,0.0001300220531788952,0.0001102347510026542,0.00031152952916346235,8.657840896352027e-05,0.0007589442457361488,0.00015446028438093773,0.00022799649127408562,4.224209175806867e-05,0.00027254031919636995,7.90989512399868e-05,0.0002889727846912157,0.0001596586238982772,6.974734436615803e-05,8.62116478711524e-05,0.00012355136867016648,0.00022944534628393514,2.188267732190827e-05,9.738103933120921e-05,0.00020738759181592505,5.876855544911597e-05,9.591836588965523e-05,8.827244650309341e-05,0.00017163985013462067,0.00013491881301435377,0.00015237055860454295,0.00011657881989197016,0.00022251459588509617,0.00019939381436852663,0.00035094816518590766,0.00017270255401162946,0.00013760591249444695,0.00021666379200313985,6.755497010087945e-05,0.0003588473261635937,0.00026535066711013354,4.620569943943279e-05,9.757679124924758e-05,0.0001253101884733032,0.0002671991768877157,0.00010060612471483654,0.0003440682889843658
BOSCHLTD.NS,9.63939747535448e-05,0.00012464550424534537,9.502489181013437e-05,5.536127971547327e-05,6.926279502792669e-05,8.322816628033181e-05,0.00012697270303982172,5.159428244925239e-05,0.00015446028438093773,0.0002462642753960856,9.792070051678057e-05,2.0937952071738633e-05,9.155380841331869e-05,3.6328983969561275e-05,9.554998165221168e-05,8.052025221548286e-05,5.142062544448958e-05,6.268663210940462e-05,9.599452414158556e-05,8.514465212010065e-05,4.267397204513887e-05,6.19147445779237e-05,9.514288400915699e-05,5.0494595900920264e-05,5.0620946967247666e-05,6.288797865698882e-05,7.789851675280066e-05,6.179403088061013e-05,0.00011222486946146001,9.615745342108487e-05,7.958104647549478e-05,7.039853483758709e-05,0.00012934909106819268,5.245675637549777e-05,7.235075127501431e-05,8.414480626570223e-05,4.571532311062748e-05,0.00013688242214129507,0.00010081936042563224,5.1555024267202746e-05,6.75159023028536e-05,7.868400949828723e-05,0.00010211368427149739,7.351584984115581e-05,0.0001157680286063485
