,mean_return
ACC.NS,0.00023487132964469988
ADANIPORTS.NS,0.0003612556410491298
AMBUJACEM.NS,9.518853177863408e-05
ASIANPAINT.NS,0.0008453885001185634
AXISBANK.NS,0.0005013292412334859
BAJAJ-AUTO.NS,0.00040116378232117546
BANKBARODA.NS,-0.00028229971970981574
BHARTIARTL.NS,0.0005416420082675456
BHEL.NS,-0.0007963493620843751
BOSCHLTD.NS,-9.711897837121595e-05
BPCL.NS,0.0009947853749076147
CIPLA.NS,-0.00012932137765214304
COALINDIA.NS,-0.00020139052195632782
DRREDDY.NS,0.00016251474100097583
GAIL.NS,0.0002298341882376196
GRASIM.NS,0.00048821199862327826
HCLTECH.NS,0.000508734926519839
HDFCBANK.NS,0.000842906761563672
HEROMOTOCO.NS,4.87015536010763e-05
HINDALCO.NS,0.000444904904207628
HINDUNILVR.NS,0.0009392875605525067
ICICIBANK.NS,0.0006284815648773007
INDUSINDBK.NS,0.0005271357657835936
INFY.NS,0.0006013019658384667
ITC.NS,0.00016577858952381296
KOTAKBANK.NS,0.0008981444496183829
LT.NS,0.00043176678646656466
LUPIN.NS,-0.000358544281566581
M&M.NS,0.00010473677257966023
MARUTI.NS,0.0007443727518044815
NTPC.NS,0.00018738103445967085
ONGC.NS,-0.0002980925898416071
PNB.NS,-0.0006026593748278818
POWERGRID.NS,0.0004296703015578307
RELIANCE.NS,0.0010909187077057945
SBIN.NS,0.0002701618377477218
SUNPHARMA.NS,-0.0002852048870343586
TATAPOWER.NS,-2.5551804195276432e-05
TATASTEEL.NS,0.0004461645486209089
TCS.NS,0.0005765426382129459
TECHM.NS,0.00040086837419075864
ULTRACEMCO.NS,0.0005532764547830859
VEDL.NS,0.00024040058509082853
WIPRO.NS,0.0002332455379863774
ZEEL.NS,5.952166223604567e-05
