,ACC.NS,ADANIPORTS.NS,AMBUJACEM.NS,ASIANPAINT.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BANKBARODA.NS,BHARTIARTL.NS,BHEL.NS,BOSCHLTD.NS,BPCL.NS,CIPLA.NS,COALINDIA.NS,DRREDDY.NS,GAIL.NS,GRASIM.NS,HCLTECH.NS,HDFCBANK.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,INDUSINDBK.NS,INFY.NS,ITC.NS,KOTAKBANK.NS,LT.NS,LUPIN.NS,M&M.NS,MARUTI.NS,NTPC.NS,ONGC.NS,PNB.NS,POWERGRID.NS,RELIANCE.NS,SBIN.NS,SUNPHARMA.NS,TATAPOWER.NS,TATASTEEL.NS,TCS.NS,TECHM.NS,ULTRACEMCO.NS,VEDL.NS,WIPRO.NS,ZEEL.NS
ACC.NS,0.0045456128678409684,0.0034768327622489784,0.004212336380518824,0.001723142632632811,0.0020774646445477153,0.0017358872237557448,0.0031010491203839127,0.0026524992582503243,0.0035635127400604092,0.002477191530054568,0.0034397615829878324,0.0006338940794448154,0.0005928198937135974,0.0003259339439274278,0.0018945124319608036,0.0029504209860522924,0.0007457499417141991,0.0015164599640200204,0.0022668127053068164,0.00334819882128354,0.001074671300733465,0.002007318736300435,0.0025032740350209785,0.0004482879129003216,0.0021316296266560408,0.0016737710884761098,0.002733534083237509,7.500436712876558e-05,0.0018717945013771603,0.00223093397824694,0.0012232317729675725,0.0018362920924480377,0.004504083501698248,0.0013372140105574496,0.002445395176183351,0.002772745373915245,0.0003150104993194702,0.0018411674939820062,0.0015510329658627114,0.001445473819089787,0.00020218962953132393,0.003535263541071789,0.003100782046353455,0.0009736297886836781,0.0008676321730771512
ADANIPORTS.NS,0.0034768327622489784,0.009338835068997322,0.003945776002780483,0.00133821597295946,0.0018486871439951588,0.0018873953333736731,0.005341432044635216,0.0026835607401351864,0.006058885659490407,0.0026345110221242286,0.003953859562031568,0.0015086027722453204,0.0016276462761532222,0.000674993390326344,0.0016526714353172806,0.002976634674040553,0.0003315619969292382,0.0021351402999734443,0.0026031573987501592,0.004221291751745348,0.0017569271255197983,0.003915071621632529,0.002594508706177822,-8.955711400715689e-05,0.0025329227996661436,0.0031296865159354415,0.003155804736195143,-0.0004480896512512912,0.0017163123115532745,0.0030576507651051627,0.0010076777267724747,0.002840724767484648,0.007923063829614415,0.0013497631670690846,0.0023176797089175857,0.004670854871266766,-7.762009202793453e-06,0.003184156378131383,0.003699068092170904,0.001731241726915317,0.0003210745278375471,0.0041740697037574,0.005330895863279007,2.8025412338676136e-05,0.0005941529663417752
AMBUJACEM.NS,0.004212336380518824,0.003945776002780483,0.005136054688169124,0.001608802307864749,0.0021645793174294116,0.0021330847772090948,0.0026934728881813945,0.00290077096523674,0.0038722456120610315,0.003159150474906488,0.0031019519928769334,0.0011605788202524738,0.0008644296278328626,0.00046889760817925015,0.0018001884767275724,0.0030509459133503994,0.000883487968531903,0.0014472042846432813,0.0028103265921830783,0.003885588086027052,0.00127852869990936,0.0019870198046398726,0.0029225167822505044,0.00035247692217603,0.0022022413794346085,0.0015140061035809503,0.0025791216471481183,-0.0005118578979232833,0.0017228950891850206,0.0025742889952837336,0.0013924534311820886,0.0014620034815731192,0.004243993377567947,0.00155105995597404,0.0025400688785235815,0.002603738244213228,0.0006420747827753393,0.0019382137206039882,0.0020380359929868183,0.0014131031524366906,0.0004331122427548893,0.0037963834065305995,0.003689571596577795,0.0008523370732134957,0.001398818218664743
ASIANPAINT.NS,0.001723142632632811,0.00133821597295946,0.001608802307864749,0.0034545316615360324,0.0012639317365556642,0.000853225513617931,0.0021168143857516674,0.0009383954059925852,0.001677847379573607,0.0012701652035645218,0.002110163802095067,8.682250540834498e-05,7.21342463048038e-05,-0.00013119582211827994,0.0005020553297409956,0.001049062684380638,0.0002568954714769582,0.0013348957645040551,0.0015202015316540373,0.0010187041579283647,0.0010318001232861277,0.0007846398728964779,0.002051876540043062,0.00048543039426689763,0.0011458590554513832,0.0013316215070120962,0.001210613423176337,-0.0007506288824512927,0.0014147039628225873,0.001809528703134994,-0.000315082844618784,7.029568828444403e-06,0.0024595422214162507,0.000719999804695048,0.0013841054542244587,0.0013999546914665788,-3.334274533085439e-05,0.00045029961764073525,-0.00035294953190798285,0.0005638631149740318,0.0002977966821433086,0.0016238504333734017,-0.00014025457037615923,0.0001351377698598839,0.0012642277452402783
AXISBANK.NS,0.0020774646445477153,0.0018486871439951588,0.0021645793174294116,0.0012639317365556642,0.004754374348119675,0.001714812796272186,0.0032656145877909587,0.0014087955747167757,0.004417253453319877,0.002494755248418727,0.002284201769108469,0.00048185471380901774,0.001923184209965839,0.0004933949739377715,0.0017962219327972001,0.001766400476871751,0.0007285931580432256,0.0019228480268577866,0.0013175051850366115,0.003025846742633301,0.0009908801127139996,0.0029855417875974473,0.002080753181048731,0.0006457168966641282,0.0016670428509984701,0.001495469683240441,0.0024852830840668616,-0.0007987513193776479,0.0017134295971385283,0.002152835173271132,0.0011917471463805018,0.0021803662639677188,0.004406366172562449,0.0010872906963877522,0.0021579407717567645,0.0037919520434836615,2.8362268410399494e-05,0.0017717292474820642,0.0017058766469800152,0.0015743984204022697,0.0018654203296939852,0.001721836200716888,0.00239706992140859,0.0009574402885154293,-0.00012396589294049628
BAJAJ-AUTO.NS,0.0017358872237557448,0.0018873953333736731,0.0021330847772090948,0.000853225513617931,0.001714812796272186,0.004090142715617658,0.0004413282921938087,0.0018066105685382204,0.003241239947527889,0.001605207694216687,0.002209419903724229,0.001304428220226058,0.0013794610455668437,0.0010766207083419217,0.0022556869477998553,0.0018241976483451639,0.0006440491545683905,0.0014352129356096383,0.0026361094366096557,0.0027720268880902766,0.0011785590269062958,0.001322564089456455,0.0015130092979221562,-0.000310955432785899,0.0007991557153599427,0.0012181101112410675,0.0017386943576086996,-0.0005421638656968022,0.0014518944511690474,0.0027290060912007253,0.0008843670318421621,0.0024673297704184754,0.0024421698928964084,0.00043597024076041203,0.0020069758338162043,0.0015335389354850773,0.0005487444269013325,0.001742882742071696,0.0017460122429073393,0.0009658596251378839,0.0006936255358648197,0.0025244781353663034,0.0018877104853893655,0.00014327907493044586,0.0022185377066649865
BANKBARODA.NS,0.0031010491203839127,0.005341432044635216,0.0026934728881813945,0.0021168143857516674,0.0032656145877909587,0.0004413282921938087,0.014432376719169322,0.002623301576280769,0.006219839514841275,0.002587576296140481,0.002369066690390018,0.0009242517154451625,0.002253943725234324,-0.0007385715191902066,0.0021025478366501213,0.0017776438798151374,-6.243142878498758e-05,0.0015947508817436556,0.0007655989598631611,0.002041854504642934,0.000970287878085184,0.004035835409515017,0.003436684441873693,-0.0006461428126634779,0.002231872496355716,0.0017615502028628263,0.0029572337613492164,-0.0018397772825760313,0.003059722446860391,0.002281742169422561,0.001389227506488146,0.002349369158339233,0.013329717746458615,0.0021463841550953553,0.0019595137110158243,0.007454273025217431,-0.0010202187884841062,0.0038511441016431027,0.0006083783798722737,-0.0005486947449726477,0.0005563032887074744,0.002263010634576846,0.0011582851886614137,-0.0002930548926200216,0.0005717698264750332
BHARTIARTL.NS,0.0026524992582503243,0.0026835607401351864,0.00290077096523674,0.0009383954059925852,0.0014087955747167757,0.0018066105685382204,0.002623301576280769,0.006450465643434819,0.00266335747682611,0.0016347076852712048,0.003168703431281269,0.0012268891996958767,0.00030373128520674387,0.000847704025932266,0.001158120421742543,0.0027314451666340645,-0.00030077333386595734,0.0009920307806742948,0.002043936961750767,0.0033884558855675137,0.0014955328344794841,0.0016214849130181176,0.0017547068800267875,-3.732345780834255e-05,0.0001973626507431752,0.0011951403479095047,0.0015312796098843988,0.0005012073664996569,0.0014137189360622754,0.001742097784732061,0.0004136526738550808,0.0014371378693304449,0.004248860820707132,0.00023376240062103484,0.0022081329267142095,0.0025954973416823586,0.0009602234196016197,0.0012961905242142376,0.002508232287943175,0.0003259724878969003,-0.0005762436025930695,0.0031712233299158016,0.0028934089941370484,0.00040543649157087446,0.0008038294708956266
BHEL.NS,0.0035635127400604092,0.006058885659490407,0.0038722456120610315,0.001677847379573607,0.004417253453319877,0.003241239947527889,0.006219839514841275,0.00266335747682611,0.012547839304181348,0.004243068286215417,0.004278902408543392,0.0027339764535982106,0.0037738898139118167,0.0005848745234826208,0.004269868451815824,0.004542101072160966,0.0008607998476839709,0.0029245980349208995,0.0019939209916839877,0.005084076303613288,0.0016173895900116815,0.004943240881979646,0.0033778143755902558,-0.0002260588743179463,0.0023821875204899554,0.0024761198416481897,0.004378325777108532,-0.00015402481573678026,0.0033927461515717884,0.003978045430189157,0.0032445966224645506,0.004965321998033787,0.011171824743786002,0.002893882263244945,0.003728252355926555,0.0065883123366390775,0.0015096269786753162,0.003848659495061204,0.0038010413989452963,0.0022765531544457055,0.0030720118424059735,0.0042697655650364135,0.0055998757922378056,0.0012077550023959199,0.002600271550109107
BOSCHLTD.NS,0.002477191530054568,0.0026345110221242286,0.003159150474906488,0.0012701652035645218,0.002494755248418727,0.001605207694216687,0.002587576296140481,0.0016347076852712048,0.004243068286215417,0.005609328674447532,0.0016212076226354971,0.0017244899895343193,0.0018921780778485375,0.0010905183562986364,0.001248243383998235,0.002132604315211029,0.0014849811900469584,0.0009910610209042242,0.002088103527574883,0.003767887403487862,0.0010845570546862162,0.0025052092509392707,0.0018487177242038394,0.0007005931876764996,0.0020936754488785412,0.0008831584247783885,0.0022591748615679347,7.935691760247704e-05,0.00122841127283422,0.0020641036469340925,0.0013569545799065432,0.0017668322455245862,0.003377337308565808,0.0013657493965516015,0.0015736797496030705,0.003173185769207347,0.0009860618443076614,0.0013702093611079001,0.0018472238269889498,0.0017702676008662934,0.0015785834714312388,0.002713717843936523,0.002577862884465313,0.0016609971449497002,0.0015393063648242865
